Date,X,Y,Z,EpochDate
Thu Nov 23 00:12:26 EST 2017,8.810662,0.5746084,4.213795,1511413946139
Thu Nov 23 00:12:26 EST 2017,8.772355,0.45968673,3.715801,1511413946170
Thu Nov 23 00:12:26 EST 2017,8.887277,0.4213795,4.060566,1511413946200
Thu Nov 23 00:12:26 EST 2017,8.6574335,0.19153613,4.213795,1511413946220
Thu Nov 23 00:12:26 EST 2017,8.887277,0.38307226,3.9456444,1511413946239
Thu Nov 23 00:12:26 EST 2017,8.580819,0.22984336,3.9073372,1511413946249
Thu Nov 23 00:12:26 EST 2017,8.925584,0.30645782,3.86903,1511413946270
Thu Nov 23 00:12:26 EST 2017,8.580819,0.30645782,4.098873,1511413946280
Thu Nov 23 00:12:26 EST 2017,8.925584,0.2681506,4.0222588,1511413946300
Thu Nov 23 00:12:26 EST 2017,8.542512,0.4213795,4.060566,1511413946309
Thu Nov 23 00:12:26 EST 2017,8.963891,0.15322891,3.9073372,1511413946330
Thu Nov 23 00:12:26 EST 2017,8.619126,0.38307226,3.9073372,1511413946339
Thu Nov 23 00:12:26 EST 2017,8.887277,0.11492168,3.9839516,1511413946359
Thu Nov 23 00:12:26 EST 2017,8.619126,0.49799395,4.098873,1511413946380
Thu Nov 23 00:12:26 EST 2017,9.002198,0.038307227,4.0222588,1511413946389
Thu Nov 23 00:12:26 EST 2017,8.619126,0.61291564,3.9456444,1511413946410
Thu Nov 23 00:12:26 EST 2017,8.887277,-0.076614454,3.9073372,1511413946419
Thu Nov 23 00:12:26 EST 2017,8.619126,0.5746084,3.9839516,1511413946440
Thu Nov 23 00:12:26 EST 2017,8.772355,0.0,4.098873,1511413946449
Thu Nov 23 00:12:26 EST 2017,8.6574335,0.61291564,4.0222588,1511413946470
Thu Nov 23 00:12:26 EST 2017,8.772355,-0.076614454,4.0222588,1511413946480
Thu Nov 23 00:12:26 EST 2017,8.695741,0.4213795,3.9839516,1511413946505
Thu Nov 23 00:12:26 EST 2017,8.6574335,-0.076614454,4.1371803,1511413946520
Thu Nov 23 00:12:26 EST 2017,8.695741,0.22984336,4.1371803,1511413946530
Thu Nov 23 00:12:26 EST 2017,8.619126,-0.22984336,4.1371803,1511413946550
Thu Nov 23 00:12:26 EST 2017,8.695741,0.038307227,3.9456444,1511413946560
Thu Nov 23 00:12:26 EST 2017,8.695741,-0.34476504,3.9839516,1511413946580
Thu Nov 23 00:12:26 EST 2017,8.695741,0.0,3.9839516,1511413946590
Thu Nov 23 00:12:26 EST 2017,8.6574335,-0.038307227,3.9839516,1511413946610
Thu Nov 23 00:12:26 EST 2017,8.925584,0.45968673,3.7541082,1511413946620
Thu Nov 23 00:12:26 EST 2017,8.542512,0.45968673,3.8307228,1511413946640
