Date,X,Y,Z,EpochDate
Sun Nov 26 19:31:32 EST 2017,8.580819,0.7278373,5.094861,1511742692792
Sun Nov 26 19:31:32 EST 2017,8.389283,1.1109096,4.9799395,1511742692801
Sun Nov 26 19:31:32 EST 2017,8.389283,0.6895301,4.2904096,1511742692822
Sun Nov 26 19:31:32 EST 2017,8.389283,1.1492168,4.0222588,1511742692842
Sun Nov 26 19:31:32 EST 2017,8.350976,0.6512229,4.55856,1511742692852
Sun Nov 26 19:31:32 EST 2017,8.504205,1.1875241,4.903325,1511742692872
Sun Nov 26 19:31:32 EST 2017,8.389283,0.61291564,4.7500963,1511742692882
Sun Nov 26 19:31:32 EST 2017,8.465898,1.2258313,4.213795,1511742692902
Sun Nov 26 19:31:32 EST 2017,8.236053,0.5746084,4.2904096,1511742692911
Sun Nov 26 19:31:32 EST 2017,8.580819,1.340753,4.596867,1511742692932
Sun Nov 26 19:31:32 EST 2017,8.274361,0.5363012,4.8267107,1511742692941
Sun Nov 26 19:31:32 EST 2017,8.619126,1.1875241,4.4436383,1511742692962
Sun Nov 26 19:31:32 EST 2017,8.121132,0.6512229,4.3287168,1511742692982
Sun Nov 26 19:31:32 EST 2017,8.695741,1.1875241,4.367024,1511742692993
Sun Nov 26 19:31:33 EST 2017,8.082825,0.6512229,4.673482,1511742693012
Sun Nov 26 19:31:33 EST 2017,8.772355,1.1109096,4.5202527,1511742693022
Sun Nov 26 19:31:33 EST 2017,8.00621,0.80445176,4.4819455,1511742693042
Sun Nov 26 19:31:33 EST 2017,8.772355,1.0726024,4.3287168,1511742693051
Sun Nov 26 19:31:33 EST 2017,8.00621,0.80445176,4.5202527,1511742693072
Sun Nov 26 19:31:33 EST 2017,8.810662,1.0726024,4.4819455,1511742693082
Sun Nov 26 19:31:33 EST 2017,8.00621,0.842759,4.596867,1511742693102
Sun Nov 26 19:31:33 EST 2017,8.695741,1.0726024,4.4436383,1511742693121
Sun Nov 26 19:31:33 EST 2017,8.121132,0.8810662,4.55856,1511742693132
Sun Nov 26 19:31:33 EST 2017,8.6574335,0.91937345,4.4819455,1511742693152
Sun Nov 26 19:31:33 EST 2017,8.197746,0.91937345,4.5202527,1511742693162
Sun Nov 26 19:31:33 EST 2017,8.619126,0.8810662,4.5202527,1511742693182
Sun Nov 26 19:31:33 EST 2017,8.159439,1.0342951,4.596867,1511742693192
