statusId | label
9|Drive
statusId|sensorName|value|timestamp
9|R3GD20 Gyroscope sensor|[0.0,0.0,0.0]|1511742263477
9|BOSCH BMA250 3-axis Accelerometer|[8.389283,1.1109096,4.903325]|1511742263572
9|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":3.0,"mAltitude":-49.70000076293945,"mElapsedRealtimeNanos":297636710039,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7730133,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0438497,"mTime":1511742264000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511743477602
9|BOSCH BMA250 3-axis Accelerometer|[8.350976,0.7278373,4.7500963]|1511742263582
9|BOSCH BMA250 3-axis Accelerometer|[8.42759,0.9576807,4.405331]|1511742263602
9|BOSCH BMA250 3-axis Accelerometer|[8.197746,0.842759,4.55856]|1511742263622
9|BOSCH BMA250 3-axis Accelerometer|[8.6574335,0.91937345,4.711789]|1511742263632
9|R3GD20 Gyroscope sensor|[0.017104227,0.058643065,-0.002443461]|1511742263632
9|R3GD20 Gyroscope sensor|[0.0061086523,0.058643065,-0.021991149]|1511742263642
9|BOSCH BMA250 3-axis Accelerometer|[8.121132,0.91937345,4.711789]|1511742263652
9|R3GD20 Gyroscope sensor|[-0.0061086523,0.010995574,-0.036651913]|1511742263652
9|BOSCH BMA250 3-axis Accelerometer|[8.734048,0.7661445,4.367024]|1511742263662
9|R3GD20 Gyroscope sensor|[0.02321288,0.040317107,-0.004886922]|1511742263662
9|R3GD20 Gyroscope sensor|[0.030543262,0.035430185,-0.02076942]|1511742263672
9|BOSCH BMA250 3-axis Accelerometer|[8.159439,1.0726024,4.405331]|1511742263682
9|R3GD20 Gyroscope sensor|[-0.014660766,-0.047647487,-0.030543262]|1511742263682
9|BOSCH BMA250 3-axis Accelerometer|[8.580819,0.61291564,4.596867]|1511742263691
9|R3GD20 Gyroscope sensor|[0.036651913,-0.02321288,0.0061086523]|1511742263692
9|R3GD20 Gyroscope sensor|[0.008552114,0.02321288,-0.02687807]|1511742263702
9|BOSCH BMA250 3-axis Accelerometer|[8.350976,1.3790601,4.673482]|1511742263712
9|R3GD20 Gyroscope sensor|[-0.008552114,0.002443461,-0.029321533]|1511742263712
9|BOSCH BMA250 3-axis Accelerometer|[8.350976,0.34476504,4.4819455]|1511742263722
9|R3GD20 Gyroscope sensor|[0.04520403,0.018325957,0.009773844]|1511742263722
9|R3GD20 Gyroscope sensor|[-0.02443461,0.035430185,-0.04642576]|1511742263732
9|BOSCH BMA250 3-axis Accelerometer|[8.619126,1.4556746,4.367024]|1511742263742
9|R3GD20 Gyroscope sensor|[0.019547688,-0.010995574,-0.013439035]|1511742263742
9|R3GD20 Gyroscope sensor|[0.02687807,-0.008552114,-0.0036651916]|1511742263753
9|BOSCH BMA250 3-axis Accelerometer|[8.00621,0.45968673,4.596867]|1511742263762
9|R3GD20 Gyroscope sensor|[-0.03176499,-0.0036651916,-0.04642576]|1511742263762
9|BOSCH BMA250 3-axis Accelerometer|[9.002198,1.1492168,4.55856]|1511742263772
9|R3GD20 Gyroscope sensor|[0.04153884,0.012217305,-0.0061086523]|1511742263772
9|R3GD20 Gyroscope sensor|[0.02687807,0.056199603,0.007330383]|1511742263783
9|BOSCH BMA250 3-axis Accelerometer|[7.6614456,0.80445176,4.596867]|1511742263792
9|R3GD20 Gyroscope sensor|[-0.02443461,0.0036651916,-0.061086524]|1511742263792
9|BOSCH BMA250 3-axis Accelerometer|[9.11712,0.8810662,4.4436383]|1511742263802
9|R3GD20 Gyroscope sensor|[0.035430185,0.0012217305,0.012217305]|1511742263802
9|R3GD20 Gyroscope sensor|[0.015882496,0.037873644,-0.02321288]|1511742263812
9|BOSCH BMA250 3-axis Accelerometer|[7.5465236,1.0342951,4.673482]|1511742263822
9|R3GD20 Gyroscope sensor|[-0.02076942,-0.032986723,-0.036651913]|1511742263822
9|BOSCH BMA250 3-axis Accelerometer|[9.040505,0.6895301,4.596867]|1511742263832
9|R3GD20 Gyroscope sensor|[0.008552114,0.035430185,-0.013439035]|1511742263832
9|R3GD20 Gyroscope sensor|[0.02687807,0.052534413,-0.02321288]|1511742263843
9|BOSCH BMA250 3-axis Accelerometer|[7.8146744,1.2258313,4.673482]|1511742263852
9|R3GD20 Gyroscope sensor|[-0.019547688,-0.040317107,-0.03176499]|1511742263852
