statusId | label
4|Drive
statusId|sensorName|value|timestamp
4|BOSCH BMA250 3-axis Accelerometer|[8.695741,-0.34476504,3.9839516]|1511413946580
4|R3GD20 Gyroscope sensor|[0.02687807,-0.02321288,-0.39584067]|1511413946580
4|BOSCH BMA250 3-axis Accelerometer|[8.695741,0.0,3.9839516]|1511413946590
4|R3GD20 Gyroscope sensor|[-0.004886922,-0.030543262,-0.40194935]|1511413946591
4|R3GD20 Gyroscope sensor|[0.07574729,-0.0036651916,-0.4447099]|1511413946600
4|BOSCH BMA250 3-axis Accelerometer|[8.6574335,-0.038307227,3.9839516]|1511413946610
4|R3GD20 Gyroscope sensor|[-0.002443461,0.02076942,-0.48380527]|1511413946610
4|BOSCH BMA250 3-axis Accelerometer|[8.925584,0.45968673,3.7541082]|1511413946620
4|R3GD20 Gyroscope sensor|[0.008552114,-0.008552114,-0.4728097]|1511413946621
4|R3GD20 Gyroscope sensor|[0.081855945,0.035430185,-0.48380527]|1511413946630
4|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":3.9,"mAltitude":-41.900001525878906,"mElapsedRealtimeNanos":26009749332563,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7730278,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0438882,"mTime":1511413948000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511400190723
4|BOSCH BMA250 3-axis Accelerometer|[8.542512,0.45968673,3.8307228]|1511413946640
4|R3GD20 Gyroscope sensor|[-0.018325957,-0.043982297,-0.5155703]|1511413946641
4|R3GD20 Gyroscope sensor|[0.047647487,-0.019547688,-0.5375614]|1511413946650
4|BOSCH BMA250 3-axis Accelerometer|[9.040505,0.30645782,3.715801]|1511413946662
4|R3GD20 Gyroscope sensor|[0.040317107,-0.007330383,-0.5742133]|1511413946663
4|BOSCH BMA250 3-axis Accelerometer|[8.465898,0.61291564,3.86903]|1511413946669
4|R3GD20 Gyroscope sensor|[-0.017104227,-0.004886922,-0.5925393]|1511413946670
4|R3GD20 Gyroscope sensor|[0.05009095,-0.028099801,-0.61575216]|1511413946680
4|BOSCH BMA250 3-axis Accelerometer|[9.11712,0.4213795,3.6774938]|1511413946689
