Date,X,Y,Z,EpochDate
Thu Nov 23 12:05:41 EST 2017,8.121132,1.3024458,3.715801,1511456741262
Thu Nov 23 12:05:41 EST 2017,9.078813,0.9959879,3.4093432,1511456741282
Thu Nov 23 12:05:41 EST 2017,8.159439,1.3790601,4.175488,1511456741292
Thu Nov 23 12:05:41 EST 2017,9.193734,0.9959879,4.2521024,1511456741313
Thu Nov 23 12:05:41 EST 2017,8.236053,1.3790601,4.098873,1511456741332
Thu Nov 23 12:05:41 EST 2017,9.002198,0.9576807,3.5242648,1511456741343
Thu Nov 23 12:05:41 EST 2017,8.197746,1.3790601,3.8307228,1511456741362
Thu Nov 23 12:05:41 EST 2017,9.078813,0.9959879,4.060566,1511456741373
Thu Nov 23 12:05:41 EST 2017,8.312668,1.3790601,4.2521024,1511456741392
Thu Nov 23 12:05:41 EST 2017,9.11712,0.9959879,3.7924154,1511456741402
Thu Nov 23 12:05:41 EST 2017,8.274361,1.2641385,3.7924154,1511456741423
Thu Nov 23 12:05:41 EST 2017,9.002198,1.0342951,3.86903,1511456741433
Thu Nov 23 12:05:41 EST 2017,8.465898,1.3790601,4.175488,1511456741460
Thu Nov 23 12:05:41 EST 2017,8.925584,0.9959879,4.060566,1511456741463
Thu Nov 23 12:05:41 EST 2017,8.542512,1.3024458,3.86903,1511456741482
Thu Nov 23 12:05:41 EST 2017,8.810662,1.0342951,3.86903,1511456741502
Thu Nov 23 12:05:41 EST 2017,8.580819,1.3790601,4.0222588,1511456741513
Thu Nov 23 12:05:41 EST 2017,8.695741,1.0342951,4.1371803,1511456741533
Thu Nov 23 12:05:41 EST 2017,8.695741,1.340753,3.9456444,1511456741542
Thu Nov 23 12:05:41 EST 2017,8.465898,1.0726024,3.9073372,1511456741563
Thu Nov 23 12:05:41 EST 2017,8.772355,1.2641385,3.86903,1511456741572
Thu Nov 23 12:05:41 EST 2017,8.42759,1.1109096,4.098873,1511456741592
Thu Nov 23 12:05:41 EST 2017,8.887277,1.3024458,3.9456444,1511456741612
Thu Nov 23 12:05:41 EST 2017,8.389283,1.1109096,3.9839516,1511456741623
Thu Nov 23 12:05:41 EST 2017,8.925584,1.2641385,3.7924154,1511456741642
Thu Nov 23 12:05:41 EST 2017,8.312668,1.2258313,4.060566,1511456741652
Thu Nov 23 12:05:41 EST 2017,9.078813,1.1492168,3.9456444,1511456741674
Thu Nov 23 12:05:41 EST 2017,8.236053,1.2641385,4.060566,1511456741682
Thu Nov 23 12:05:41 EST 2017,9.193734,1.0726024,3.7541082,1511456741703
Thu Nov 23 12:05:41 EST 2017,8.121132,1.3790601,4.060566,1511456741713
Thu Nov 23 12:05:41 EST 2017,9.308656,0.9959879,3.9073372,1511456741732
Thu Nov 23 12:05:41 EST 2017,8.121132,1.3790601,4.098873,1511456741753
Thu Nov 23 12:05:41 EST 2017,9.270349,0.91937345,3.7924154,1511456741762
Thu Nov 23 12:05:41 EST 2017,8.236053,1.3790601,4.0222588,1511456741782
Thu Nov 23 12:05:41 EST 2017,9.040505,0.9576807,3.9456444,1511456741793
Thu Nov 23 12:05:41 EST 2017,8.312668,1.4173675,4.060566,1511456741813
Thu Nov 23 12:05:41 EST 2017,9.040505,0.91937345,3.86903,1511456741822
Thu Nov 23 12:05:41 EST 2017,8.197746,1.340753,3.9456444,1511456741842
Thu Nov 23 12:05:41 EST 2017,9.040505,1.0342951,3.86903,1511456741852
Thu Nov 23 12:05:41 EST 2017,8.312668,1.340753,4.0222588,1511456741872
Thu Nov 23 12:05:41 EST 2017,8.772355,1.0726024,3.9456444,1511456741893
Thu Nov 23 12:05:41 EST 2017,8.619126,1.3024458,3.9073372,1511456741903
Thu Nov 23 12:05:41 EST 2017,8.619126,1.1109096,3.9456444,1511456741922
Thu Nov 23 12:05:41 EST 2017,8.6574335,1.2258313,3.9456444,1511456741932
Thu Nov 23 12:05:41 EST 2017,8.6574335,1.1875241,4.0222588,1511456741952
Thu Nov 23 12:05:41 EST 2017,8.6574335,1.1492168,3.9456444,1511456741962
Thu Nov 23 12:05:41 EST 2017,8.734048,1.2258313,3.9456444,1511456741983
Thu Nov 23 12:05:41 EST 2017,8.6574335,1.1492168,3.9839516,1511456741993
Thu Nov 23 12:05:42 EST 2017,8.6574335,1.3024458,3.9839516,1511456742012
Thu Nov 23 12:05:42 EST 2017,8.772355,0.9959879,3.9456444,1511456742033
Thu Nov 23 12:05:42 EST 2017,8.504205,1.3024458,3.9456444,1511456742043
Thu Nov 23 12:05:42 EST 2017,8.887277,0.9576807,3.86903,1511456742062
Thu Nov 23 12:05:42 EST 2017,8.389283,1.3790601,4.0222588,1511456742074
Thu Nov 23 12:05:42 EST 2017,8.848969,0.9959879,3.9456444,1511456742092
Thu Nov 23 12:05:42 EST 2017,8.580819,1.2641385,3.9456444,1511456742102
Thu Nov 23 12:05:42 EST 2017,8.772355,0.9959879,3.9073372,1511456742123
Thu Nov 23 12:05:42 EST 2017,8.504205,1.340753,3.9456444,1511456742132
Thu Nov 23 12:05:42 EST 2017,8.887277,0.9576807,3.9456444,1511456742153
Thu Nov 23 12:05:42 EST 2017,8.312668,1.4556746,3.9839516,1511456742173
Thu Nov 23 12:05:42 EST 2017,8.925584,0.91937345,3.86903,1511456742182
Thu Nov 23 12:05:42 EST 2017,8.389283,1.3024458,4.0222588,1511456742202
Thu Nov 23 12:05:42 EST 2017,8.887277,1.1109096,3.9456444,1511456742212
Thu Nov 23 12:05:42 EST 2017,8.465898,1.2641385,3.9839516,1511456742233
Thu Nov 23 12:05:42 EST 2017,8.887277,1.0342951,3.9456444,1511456742242
Thu Nov 23 12:05:42 EST 2017,8.465898,1.4556746,3.9839516,1511456742262
Thu Nov 23 12:05:42 EST 2017,8.887277,0.9576807,3.9839516,1511456742272
Thu Nov 23 12:05:42 EST 2017,8.504205,1.4173675,4.0222588,1511456742292
Thu Nov 23 12:05:42 EST 2017,8.810662,0.9959879,3.9073372,1511456742312
Thu Nov 23 12:05:42 EST 2017,8.504205,1.2641385,3.9456444,1511456742322
Thu Nov 23 12:05:42 EST 2017,8.810662,1.0726024,3.9456444,1511456742343
Thu Nov 23 12:05:42 EST 2017,8.504205,1.3024458,3.9839516,1511456742352
Thu Nov 23 12:05:42 EST 2017,8.772355,1.0342951,3.9456444,1511456742372
Thu Nov 23 12:05:42 EST 2017,8.580819,1.2258313,3.9073372,1511456742382
Thu Nov 23 12:05:42 EST 2017,8.695741,1.0342951,3.9073372,1511456742402
Thu Nov 23 12:05:42 EST 2017,8.695741,1.3024458,3.9073372,1511456742423
Thu Nov 23 12:05:42 EST 2017,8.542512,1.0342951,4.0222588,1511456742432
Thu Nov 23 12:05:42 EST 2017,8.772355,1.2641385,3.9456444,1511456742453
Thu Nov 23 12:05:42 EST 2017,8.504205,1.1109096,3.9839516,1511456742462
Thu Nov 23 12:05:42 EST 2017,8.848969,1.2258313,3.86903,1511456742482
Thu Nov 23 12:05:42 EST 2017,8.42759,1.1492168,4.060566,1511456742493
Thu Nov 23 12:05:42 EST 2017,8.925584,1.2641385,3.9073372,1511456742512
Thu Nov 23 12:05:42 EST 2017,8.350976,1.1492168,4.060566,1511456742523
Thu Nov 23 12:05:42 EST 2017,9.040505,1.2258313,3.8307228,1511456742542
Thu Nov 23 12:05:42 EST 2017,8.197746,1.1109096,4.060566,1511456742563
Thu Nov 23 12:05:42 EST 2017,9.155427,1.2258313,3.86903,1511456742573
Thu Nov 23 12:05:42 EST 2017,8.159439,1.1492168,4.098873,1511456742592
Thu Nov 23 12:05:42 EST 2017,9.232041,1.2258313,3.7541082,1511456742603
Thu Nov 23 12:05:42 EST 2017,7.967903,1.1875241,4.060566,1511456742623
Thu Nov 23 12:05:42 EST 2017,9.346964,1.1492168,3.7924154,1511456742632
Thu Nov 23 12:05:42 EST 2017,7.8912888,1.2258313,4.1371803,1511456742653
Thu Nov 23 12:05:42 EST 2017,9.385271,1.1492168,3.7541082,1511456742663
Thu Nov 23 12:05:42 EST 2017,7.929596,1.1109096,4.098873,1511456742682
Thu Nov 23 12:05:42 EST 2017,9.461885,1.1492168,3.7541082,1511456742703
Thu Nov 23 12:05:42 EST 2017,7.8529816,1.1492168,4.175488,1511456742712
Thu Nov 23 12:05:42 EST 2017,9.500193,1.1109096,3.7541082,1511456742733
Thu Nov 23 12:05:42 EST 2017,7.8146744,1.1109096,4.1371803,1511456742743
Thu Nov 23 12:05:42 EST 2017,9.615114,1.1492168,3.6774938,1511456742762
Thu Nov 23 12:05:42 EST 2017,7.776367,1.1109096,4.175488,1511456742772
Thu Nov 23 12:05:42 EST 2017,9.576807,1.1492168,3.7541082,1511456742793
Thu Nov 23 12:05:42 EST 2017,7.73806,1.2641385,4.175488,1511456742803
Thu Nov 23 12:05:42 EST 2017,9.5385,0.9959879,3.715801,1511456742823
Thu Nov 23 12:05:42 EST 2017,7.8146744,1.340753,4.098873,1511456742842
Thu Nov 23 12:05:42 EST 2017,9.500193,1.0342951,3.7541082,1511456742854
Thu Nov 23 12:05:42 EST 2017,7.8529816,1.3024458,4.175488,1511456742873
Thu Nov 23 12:05:42 EST 2017,9.500193,1.0726024,3.7541082,1511456742882
Thu Nov 23 12:05:42 EST 2017,7.8146744,1.2258313,4.098873,1511456742904
Thu Nov 23 12:05:42 EST 2017,9.500193,1.0726024,3.715801,1511456742912
Thu Nov 23 12:05:42 EST 2017,7.8529816,1.2641385,4.1371803,1511456742933
Thu Nov 23 12:05:42 EST 2017,9.500193,1.0342951,3.7924154,1511456742942
Thu Nov 23 12:05:42 EST 2017,7.8912888,1.3790601,4.098873,1511456742963
Thu Nov 23 12:05:42 EST 2017,9.346964,0.91937345,3.7924154,1511456742983
Thu Nov 23 12:05:42 EST 2017,8.0445175,1.4173675,4.060566,1511456742992
Thu Nov 23 12:05:43 EST 2017,9.270349,0.91937345,3.9073372,1511456743013
Thu Nov 23 12:05:43 EST 2017,7.967903,1.340753,4.098873,1511456743023
Thu Nov 23 12:05:43 EST 2017,9.385271,0.9576807,3.7541082,1511456743042
Thu Nov 23 12:05:43 EST 2017,8.0445175,1.3024458,4.0222588,1511456743053
Thu Nov 23 12:05:43 EST 2017,9.11712,0.9576807,3.86903,1511456743072
Thu Nov 23 12:05:43 EST 2017,8.389283,1.4556746,3.9839516,1511456743093
Thu Nov 23 12:05:43 EST 2017,8.810662,0.8810662,3.9456444,1511456743103
Thu Nov 23 12:05:43 EST 2017,8.580819,1.4173675,3.9073372,1511456743123
Thu Nov 23 12:05:43 EST 2017,8.695741,0.91937345,3.9073372,1511456743132
Thu Nov 23 12:05:43 EST 2017,8.619126,1.4556746,3.9073372,1511456743153
Thu Nov 23 12:05:43 EST 2017,8.6574335,0.9576807,3.9839516,1511456743162
Thu Nov 23 12:05:43 EST 2017,8.695741,1.340753,3.9073372,1511456743184
Thu Nov 23 12:05:43 EST 2017,8.580819,1.0726024,3.9456444,1511456743192
Thu Nov 23 12:05:43 EST 2017,8.848969,1.2258313,3.8307228,1511456743213
Thu Nov 23 12:05:43 EST 2017,8.389283,1.1492168,4.0222588,1511456743224
Thu Nov 23 12:05:43 EST 2017,9.002198,1.2641385,3.8307228,1511456743242
Thu Nov 23 12:05:43 EST 2017,8.312668,1.0342951,4.0222588,1511456743262
Thu Nov 23 12:05:43 EST 2017,9.040505,1.3024458,3.7924154,1511456743272
Thu Nov 23 12:05:43 EST 2017,8.312668,0.9576807,4.0222588,1511456743293
Thu Nov 23 12:05:43 EST 2017,8.963891,1.340753,3.8307228,1511456743303
