statusId | label
10|Drive
statusId|sensorName|value|timestamp
10|R3GD20 Gyroscope sensor|[0.034208454,0.034208454,0.034208454]|1511742692718
10|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":9.0,"mAltitude":-37.79999923706055,"mElapsedRealtimeNanos":726652550063,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7730355,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0438721,"mTime":1511742693000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511743477603
10|BOSCH BMA250 3-axis Accelerometer|[8.580819,0.7278373,5.094861]|1511742692792
10|BOSCH BMA250 3-axis Accelerometer|[8.389283,1.1109096,4.9799395]|1511742692801
10|BOSCH BMA250 3-axis Accelerometer|[8.389283,0.6895301,4.2904096]|1511742692822
10|BOSCH BMA250 3-axis Accelerometer|[8.389283,1.1492168,4.0222588]|1511742692842
10|BOSCH BMA250 3-axis Accelerometer|[8.350976,0.6512229,4.55856]|1511742692852
10|BOSCH BMA250 3-axis Accelerometer|[8.504205,1.1875241,4.903325]|1511742692872
10|R3GD20 Gyroscope sensor|[-0.0012217305,0.096516706,-0.014660766]|1511742692871
10|BOSCH BMA250 3-axis Accelerometer|[8.389283,0.61291564,4.7500963]|1511742692882
10|R3GD20 Gyroscope sensor|[0.028099801,0.096516706,0.0061086523]|1511742692882
10|R3GD20 Gyroscope sensor|[-0.013439035,0.06719518,-0.021991149]|1511742692892
10|BOSCH BMA250 3-axis Accelerometer|[8.465898,1.2258313,4.213795]|1511742692902
10|R3GD20 Gyroscope sensor|[0.019547688,0.032986723,-0.009773844]|1511742692902
10|BOSCH BMA250 3-axis Accelerometer|[8.236053,0.5746084,4.2904096]|1511742692911
10|R3GD20 Gyroscope sensor|[0.04642576,0.028099801,-0.009773844]|1511742692912
10|R3GD20 Gyroscope sensor|[-0.008552114,-0.0720821,-0.02321288]|1511742692922
10|BOSCH BMA250 3-axis Accelerometer|[8.580819,1.340753,4.596867]|1511742692932
10|R3GD20 Gyroscope sensor|[0.019547688,-0.040317107,-0.008552114]|1511742692932
10|BOSCH BMA250 3-axis Accelerometer|[8.274361,0.5363012,4.8267107]|1511742692941
10|R3GD20 Gyroscope sensor|[0.019547688,0.029321533,-0.010995574]|1511742692942
10|R3GD20 Gyroscope sensor|[-0.010995574,0.035430185,-0.04153884]|1511742692952
10|BOSCH BMA250 3-axis Accelerometer|[8.619126,1.1875241,4.4436383]|1511742692962
10|R3GD20 Gyroscope sensor|[0.008552114,0.028099801,-0.015882496]|1511742692963
10|R3GD20 Gyroscope sensor|[0.029321533,0.05009095,0.007330383]|1511742692972
10|BOSCH BMA250 3-axis Accelerometer|[8.121132,0.6512229,4.3287168]|1511742692982
