Date,X,Y,Z,EpochDate
Sun Nov 26 15:25:53 EST 2017,8.236053,3.064578,4.596867,1511727953391
Sun Nov 26 15:25:53 EST 2017,7.469909,2.834735,4.9416323,1511727953401
Sun Nov 26 15:25:53 EST 2017,8.274361,3.064578,4.7500963,1511727953422
Sun Nov 26 15:25:53 EST 2017,7.3549876,2.9496565,4.6351743,1511727953431
Sun Nov 26 15:25:53 EST 2017,8.350976,2.9879637,4.5202527,1511727953451
Sun Nov 26 15:25:53 EST 2017,7.393295,2.9496565,4.711789,1511727953471
Sun Nov 26 15:25:53 EST 2017,8.350976,2.9496565,4.711789,1511727953481
Sun Nov 26 15:25:53 EST 2017,7.3166804,2.9879637,4.7884035,1511727953501
Sun Nov 26 15:25:53 EST 2017,8.389283,2.9496565,4.55856,1511727953511
Sun Nov 26 15:25:53 EST 2017,7.3166804,3.064578,4.6351743,1511727953531
Sun Nov 26 15:25:53 EST 2017,8.42759,2.834735,4.673482,1511727953542
Sun Nov 26 15:25:53 EST 2017,7.2783732,3.064578,4.7884035,1511727953562
Sun Nov 26 15:25:53 EST 2017,8.42759,2.7964275,4.596867,1511727953581
Sun Nov 26 15:25:53 EST 2017,7.2783732,3.1411927,4.6351743,1511727953592
Sun Nov 26 15:25:53 EST 2017,8.389283,2.7581203,4.6351743,1511727953611
Sun Nov 26 15:25:53 EST 2017,7.2783732,3.217807,4.7884035,1511727953621
Sun Nov 26 15:25:53 EST 2017,8.389283,2.719813,4.711789,1511727953642
Sun Nov 26 15:25:53 EST 2017,7.3166804,3.1794999,4.6351743,1511727953651
Sun Nov 26 15:25:53 EST 2017,8.389283,2.719813,4.596867,1511727953671
Sun Nov 26 15:25:53 EST 2017,7.3166804,3.1794999,4.7500963,1511727953681
Sun Nov 26 15:25:53 EST 2017,8.350976,2.7964275,4.7500963,1511727953701
Sun Nov 26 15:25:53 EST 2017,7.2783732,3.1411927,4.711789,1511727953711
Sun Nov 26 15:25:53 EST 2017,8.350976,2.7964275,4.596867,1511727953732
Sun Nov 26 15:25:53 EST 2017,7.3549876,3.1028855,4.6351743,1511727953742
Sun Nov 26 15:25:53 EST 2017,8.350976,2.7581203,4.6351743,1511727953761
Sun Nov 26 15:25:53 EST 2017,7.3166804,3.1794999,4.7500963,1511727953782
Sun Nov 26 15:25:53 EST 2017,8.350976,2.7964275,4.673482,1511727953791
Sun Nov 26 15:25:53 EST 2017,7.3166804,3.1411927,4.673482,1511727953811
Sun Nov 26 15:25:53 EST 2017,8.42759,2.834735,4.596867,1511727953821
Sun Nov 26 15:25:53 EST 2017,7.240066,3.064578,4.711789,1511727953842
Sun Nov 26 15:25:53 EST 2017,8.504205,2.834735,4.673482,1511727953851
Sun Nov 26 15:25:53 EST 2017,7.1634517,3.1028855,4.711789,1511727953871
Sun Nov 26 15:25:53 EST 2017,8.542512,2.834735,4.55856,1511727953881
Sun Nov 26 15:25:53 EST 2017,7.1251445,3.064578,4.6351743,1511727953912
Sun Nov 26 15:25:53 EST 2017,8.504205,2.834735,4.673482,1511727953921
Sun Nov 26 15:25:53 EST 2017,7.1251445,3.0262709,4.7500963,1511727953932
Sun Nov 26 15:25:53 EST 2017,8.542512,2.9113493,4.596867,1511727953951
Sun Nov 26 15:25:53 EST 2017,7.1251445,2.9496565,4.596867,1511727953961
Sun Nov 26 15:25:53 EST 2017,8.580819,2.9879637,4.673482,1511727953981
Sun Nov 26 15:25:53 EST 2017,7.0485296,3.0262709,4.865018,1511727953992
Sun Nov 26 15:25:54 EST 2017,8.580819,2.873042,4.6351743,1511727954012
Sun Nov 26 15:25:54 EST 2017,7.086837,3.0262709,4.596867,1511727954021
Sun Nov 26 15:25:54 EST 2017,8.542512,2.7964275,4.55856,1511727954041
Sun Nov 26 15:25:54 EST 2017,7.1634517,3.1411927,4.7884035,1511727954061
Sun Nov 26 15:25:54 EST 2017,8.465898,2.7964275,4.711789,1511727954071
Sun Nov 26 15:25:54 EST 2017,7.2783732,2.9879637,4.6351743,1511727954091
Sun Nov 26 15:25:54 EST 2017,8.312668,2.719813,4.5202527,1511727954101
Sun Nov 26 15:25:54 EST 2017,7.393295,2.7581203,4.673482,1511727954122
Sun Nov 26 15:25:54 EST 2017,8.236053,2.4516625,4.711789,1511727954131
Sun Nov 26 15:25:54 EST 2017,7.469909,2.873042,4.711789,1511727954152
Sun Nov 26 15:25:54 EST 2017,8.159439,2.834735,4.596867,1511727954161
Sun Nov 26 15:25:54 EST 2017,7.5465236,3.1411927,4.596867,1511727954182
Sun Nov 26 15:25:54 EST 2017,8.00621,3.217807,4.6351743,1511727954201
Sun Nov 26 15:25:54 EST 2017,7.6231384,3.1411927,4.711789,1511727954212
Sun Nov 26 15:25:54 EST 2017,7.699753,2.834735,4.6351743,1511727954241
Sun Nov 26 15:25:54 EST 2017,7.8912888,3.3327289,4.596867,1511727954261
Sun Nov 26 15:25:54 EST 2017,7.5082164,2.4899697,4.711789,1511727954271
Sun Nov 26 15:25:54 EST 2017,7.967903,3.5242648,4.673482,1511727954291
Sun Nov 26 15:25:54 EST 2017,7.431602,2.528277,4.673482,1511727954301
Sun Nov 26 15:25:54 EST 2017,8.121132,3.86903,4.4436383,1511727954321
Sun Nov 26 15:25:54 EST 2017,7.1634517,2.566584,4.711789,1511727954331
Sun Nov 26 15:25:54 EST 2017,8.159439,4.0222588,4.6351743,1511727954351
Sun Nov 26 15:25:54 EST 2017,7.1251445,2.4899697,4.7884035,1511727954371
Sun Nov 26 15:25:54 EST 2017,8.236053,3.9839516,4.4436383,1511727954382
Sun Nov 26 15:25:54 EST 2017,7.086837,2.2601264,4.5202527,1511727954402
Sun Nov 26 15:25:54 EST 2017,8.197746,4.0222588,4.3287168,1511727954411
Sun Nov 26 15:25:54 EST 2017,7.240066,2.7964275,4.405331,1511727954431
Sun Nov 26 15:25:54 EST 2017,8.197746,4.213795,4.098873,1511727954442
Sun Nov 26 15:25:54 EST 2017,7.1251445,2.873042,4.2521024,1511727954461
Sun Nov 26 15:25:54 EST 2017,8.236053,4.098873,4.1371803,1511727954471
Sun Nov 26 15:25:54 EST 2017,7.0102224,3.5625722,4.3287168,1511727954492
Sun Nov 26 15:25:54 EST 2017,8.121132,3.9456444,4.175488,1511727954511
Sun Nov 26 15:25:54 EST 2017,6.9719152,4.098873,4.175488,1511727954521
Sun Nov 26 15:25:54 EST 2017,7.8912888,3.9073372,4.1371803,1511727954541
Sun Nov 26 15:25:54 EST 2017,6.933608,4.673482,4.213795,1511727954561
Sun Nov 26 15:25:54 EST 2017,7.6614456,3.9839516,4.175488,1511727954572
Sun Nov 26 15:25:54 EST 2017,7.0485296,4.8267107,4.098873,1511727954581
Sun Nov 26 15:25:54 EST 2017,7.393295,4.1371803,4.098873,1511727954601
Sun Nov 26 15:25:54 EST 2017,6.9719152,5.094861,4.0222588,1511727954611
Sun Nov 26 15:25:54 EST 2017,7.201759,4.060566,4.213795,1511727954631
Sun Nov 26 15:25:54 EST 2017,6.895301,5.554548,4.098873,1511727954642
Sun Nov 26 15:25:54 EST 2017,7.0102224,3.8307228,4.1371803,1511727954661
Sun Nov 26 15:25:54 EST 2017,6.8186865,6.2823853,3.9073372,1511727954681
Sun Nov 26 15:25:54 EST 2017,6.6271505,4.060566,4.213795,1511727954691
Sun Nov 26 15:25:54 EST 2017,6.742072,6.588843,4.098873,1511727954711
Sun Nov 26 15:25:54 EST 2017,6.435614,4.1371803,4.213795,1511727954722
Sun Nov 26 15:25:54 EST 2017,6.703765,6.3206925,3.9073372,1511727954741
Sun Nov 26 15:25:54 EST 2017,6.090849,4.405331,4.1371803,1511727954751
Sun Nov 26 15:25:54 EST 2017,6.4739213,6.703765,3.9839516,1511727954771
Sun Nov 26 15:25:54 EST 2017,6.0525417,5.171476,4.175488,1511727954781
Sun Nov 26 15:25:54 EST 2017,6.205771,7.201759,3.9839516,1511727954801
Sun Nov 26 15:25:54 EST 2017,6.0525417,5.66947,4.098873,1511727954821
Sun Nov 26 15:25:54 EST 2017,5.9759274,7.699753,3.9839516,1511727954832
Sun Nov 26 15:25:54 EST 2017,5.9759274,6.205771,4.1371803,1511727954851
Sun Nov 26 15:25:54 EST 2017,5.93762,8.197746,4.0222588,1511727954861
Sun Nov 26 15:25:54 EST 2017,5.707777,5.592855,4.1371803,1511727954881
Sun Nov 26 15:25:54 EST 2017,5.9759274,7.699753,3.9456444,1511727954892
Sun Nov 26 15:25:54 EST 2017,5.439626,4.673482,4.1371803,1511727954912
Sun Nov 26 15:25:54 EST 2017,5.9759274,7.8912888,3.9839516,1511727954921
Sun Nov 26 15:25:54 EST 2017,5.3247046,5.171476,4.1371803,1511727954951
Sun Nov 26 15:25:54 EST 2017,5.8226986,7.431602,4.0222588,1511727954961
Sun Nov 26 15:25:54 EST 2017,5.3247046,5.439626,4.060566,1511727954972
Sun Nov 26 15:25:54 EST 2017,5.631162,7.393295,3.86903,1511727954991
Sun Nov 26 15:25:55 EST 2017,5.133168,5.66947,3.9839516,1511727955002
Sun Nov 26 15:25:55 EST 2017,5.592855,7.0102224,4.0222588,1511727955021
Sun Nov 26 15:25:55 EST 2017,4.865018,5.8226986,4.060566,1511727955031
Sun Nov 26 15:25:55 EST 2017,5.2863975,6.8186865,3.9839516,1511727955051
Sun Nov 26 15:25:55 EST 2017,4.673482,6.3206925,3.9073372,1511727955061
Sun Nov 26 15:25:55 EST 2017,5.056554,6.5505357,3.9073372,1511727955081
Sun Nov 26 15:25:55 EST 2017,4.6351743,6.895301,3.9073372,1511727955101
Sun Nov 26 15:25:55 EST 2017,4.5202527,6.5122285,4.060566,1511727955111
Sun Nov 26 15:25:55 EST 2017,4.55856,7.8529816,3.9073372,1511727955132
Sun Nov 26 15:25:55 EST 2017,4.060566,6.5122285,3.9839516,1511727955142
Sun Nov 26 15:25:55 EST 2017,4.405331,8.542512,3.7924154,1511727955162
Sun Nov 26 15:25:55 EST 2017,3.5625722,6.2823853,3.9839516,1511727955172
Sun Nov 26 15:25:55 EST 2017,4.213795,8.887277,3.86903,1511727955191
Sun Nov 26 15:25:55 EST 2017,3.217807,6.5122285,3.9456444,1511727955201
Sun Nov 26 15:25:55 EST 2017,3.9073372,9.002198,3.6774938,1511727955221
Sun Nov 26 15:25:55 EST 2017,2.834735,7.1251445,3.8307228,1511727955231
Sun Nov 26 15:25:55 EST 2017,3.5242648,9.11712,3.7924154,1511727955251
Sun Nov 26 15:25:55 EST 2017,2.6048915,7.73806,3.86903,1511727955272
Sun Nov 26 15:25:55 EST 2017,3.1794999,8.848969,3.7541082,1511727955281
Sun Nov 26 15:25:55 EST 2017,2.4133554,8.42759,3.715801,1511727955301
Sun Nov 26 15:25:55 EST 2017,2.719813,8.350976,3.715801,1511727955311
Sun Nov 26 15:25:55 EST 2017,2.1452048,9.346964,3.6774938,1511727955332
Sun Nov 26 15:25:55 EST 2017,2.2984335,8.00621,3.7541082,1511727955341
Sun Nov 26 15:25:55 EST 2017,2.1068976,9.883265,3.6391866,1511727955361
Sun Nov 26 15:25:55 EST 2017,1.9153614,7.8912888,3.715801,1511727955371
Sun Nov 26 15:25:55 EST 2017,1.9536686,10.113108,3.5625722,1511727955391
Sun Nov 26 15:25:55 EST 2017,1.4173675,7.393295,3.6774938,1511727955411
Sun Nov 26 15:25:55 EST 2017,1.8387469,9.998186,3.5625722,1511727955421
Sun Nov 26 15:25:55 EST 2017,1.0342951,7.240066,3.715801,1511727955441
Sun Nov 26 15:25:55 EST 2017,1.6472107,9.883265,3.5242648,1511727955452
Sun Nov 26 15:25:55 EST 2017,0.6895301,7.73806,3.6008794,1511727955471
Sun Nov 26 15:25:55 EST 2017,1.4173675,9.5385,3.5242648,1511727955481
Sun Nov 26 15:25:55 EST 2017,0.4213795,8.350976,3.5625722,1511727955502
Sun Nov 26 15:25:55 EST 2017,1.0342951,8.887277,3.6008794,1511727955511
Sun Nov 26 15:25:55 EST 2017,0.19153613,9.155427,3.5625722,1511727955531
Sun Nov 26 15:25:55 EST 2017,0.6895301,8.082825,3.5242648,1511727955552
Sun Nov 26 15:25:55 EST 2017,0.19153613,9.844957,3.371036,1511727955561
Sun Nov 26 15:25:55 EST 2017,0.0,7.086837,3.5242648,1511727955581
Sun Nov 26 15:25:55 EST 2017,0.038307227,10.649409,3.371036,1511727955591
Sun Nov 26 15:25:55 EST 2017,-0.38307226,6.8569937,3.4859576,1511727955611
Sun Nov 26 15:25:55 EST 2017,-0.038307227,10.419566,3.2944214,1511727955621
Sun Nov 26 15:25:55 EST 2017,-1.0342951,8.121132,3.3327289,1511727955641
Sun Nov 26 15:25:55 EST 2017,-0.22984336,9.308656,3.3327289,1511727955652
