GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 15:17:51 EST 2017,17:51.4,-76.04392398,36.77296273,0,3,-24.20000076,0,8.23605347,1.03429508,4.63517427,-0.01186472,-,-,-0.02076152,0.84736669,0.0976229,0.38030469,-,-,-,-,60.79999924,-,14.64881134,-,656,-,-79.39633179,36.77296448,-76.04392242,-,0,0,-
Sun Nov 26 15:17:52 EST 2017,17:52.4,-76.04392398,36.77296274,0,3,-24.20000076,0,8.6957407,1.45567465,4.59686708,0.00222391,-,-,0.04062528,0.92546505,0.07809832,0.36858991,-,-,-,-,60.79999924,-,14.64881134,-,652,-,-79.39633179,36.77296448,-76.04392242,-,0,0,-
Sun Nov 26 15:17:53 EST 2017,17:53.4,-76.04392398,36.77296285,0,3,-24.29999924,0,7.96790314,1.83874691,3.98395157,0.00642171,-,-,-0.00168752,0.89422578,0.16791138,0.31001619,-,-,-,-,60.79999924,-,14.64881134,-,705,-,-79.72440338,36.77296448,-76.04392242,-,0,0,-
Sun Nov 26 15:17:54 EST 2017,17:54.4,-76.04392396,36.77296285,0,4,-24.29999924,0,8.04451752,3.98395157,4.09887314,-0.00528784,-,14.90196133,-0.02211808,0.80050778,0.35144243,0.33735061,14.11764717,14.11764717,-,-,60.79999924,-,14.64881134,-,705,-,-79.72440338,36.77296448,-76.04392242,5.09803915,0,0,-
Sun Nov 26 15:17:55 EST 2017,17:55.4,-76.04392391,36.7729627,0,4,-24.29999924,0,6.09084892,7.431602,3.86903,-0.00074597,-,14.90196133,0.05264559,0.65993077,0.71850449,0.29439652,14.11764717,14.11764717,-,-,60.79999924,-,14.64881134,-,705,-,-79.72440338,36.77296448,-76.04392242,5.09803915,0,0,-
Sun Nov 26 15:17:56 EST 2017,17:56.4,-76.04392815,36.77296489,0.75,4,-24.10000038,302.7,-7.73806,6.66545773,1.95366859,0.01554343,-,14.90196133,0.01018677,-0.65993077,0.72631437,0.1381999,14.11764717,14.11764717,-,-,60.79999924,2.48548484,14.64881134,-,1016,-,-79.06824493,36.77296448,-76.04393005,5.09803915,1.67770207,2.48548484,-
Sun Nov 26 15:17:57 EST 2017,17:57.4,-76.04394638,36.77298859,1.5,4,-28.29999924,319.5,-8.61912632,-4.78840351,2.22181916,0.02864337,-,19.6078434,0.01589545,-0.96060938,-0.28115395,0.07181631,30.19607925,30.58823586,-,-,62.59999847,2.48548484,14.64881134,-,1016,-,-92.84776306,36.77298737,-76.04394531,10.1960783,3.35540414,2.48548484,-
Sun Nov 26 15:17:58 EST 2017,17:58.4,-76.04395429,36.7730046,2,4,-29.39999962,314.8,-3.90733719,-7.66144562,2.52827692,0.02157981,-,19.6078434,-0.02942462,-0.4685899,-0.80441266,0.17334414,30.19607925,30.58823586,-,-,62.59999847,2.48548484,14.64881134,-,1016,-,-96.45669556,36.77300644,-76.04395294,10.1960783,4.47387266,2.48548484,-
Sun Nov 26 15:17:59 EST 2017,17:59.4,-76.04396163,36.77302589,2,4,-32,328.2,-4.29040956,-8.08282471,2.03028297,0.04737346,-,19.6078434,0.05218163,-0.40220633,-0.92546505,0.19677362,30.19607925,30.58823586,-,-,62.59999847,5.28165531,14.64881134,-,1498,-,-104.9868774,36.77302551,-76.04396057,10.1960783,4.47387266,8.07782555,-
Sun Nov 26 15:18:00 EST 2017,18:00.4,-76.04396697,36.7730628,2.75,4,-35,349.6,-9.57680702,-2.60489154,2.14520478,0.0588771,-,22.74509811,0.02663795,-0.94108468,-0.34363261,0.12258022,38.4313736,38.4313736,-,-,62.59999847,5.28165531,14.64881134,-,1498,-,-114.8293991,36.77306366,-76.0439682,14.11764717,6.15157461,8.07782555,-
