GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:29:58 EST 2017,29:58.1,-76.03973354,36.77313733,10.25,9,-37.59999847,237.8,8.31266785,-2.41335535,4.67348194,0.0243241,-,16.86274529,0.11646333,0.94108468,-0.33191785,0.39982924,27.05882454,27.45098114,-,-,41,21.07820129,14.64881134,-,1337,-,-123.3595734,36.77313614,-76.03973389,7.05882359,22.9285965,22.9907341,17.07750893
Sun Nov 26 19:29:59 EST 2017,29:59.1,-76.03983125,36.77308997,10.25,10,-37.09999847,235.5,8.31266785,-1.72382522,4.40533113,0.02349687,-,16.86274529,0.01274376,0.84736669,-0.20305562,0.4154489,27.05882454,27.45098114,-,-,41,21.08315849,14.64881134,-,1340,-,-121.7191544,36.77309036,-76.03983307,7.05882359,22.9285965,22.9907341,17.07750893
Sun Nov 26 19:30:00 EST 2017,30:00.1,-76.03992351,36.77304056,10,10,-36.79999924,234.4,8.15943909,-1.76213241,4.06056595,0.01592304,-,16.47058868,-0.03442904,0.79269797,-0.1718163,0.42325872,27.05882454,27.45098114,-,-,41,21.09619331,14.64881134,-,1355,-,-120.7349091,36.77304077,-76.03992462,7.05882359,22.36936378,23.61210442,33.09017181
Sun Nov 26 19:30:01 EST 2017,30:01.1,-76.04001386,36.77297621,10.25,10,-36.79999924,231.4,8.35097599,-1.76213241,4.67348194,0.00686144,-,16.47058868,-0.00616069,0.84736669,-0.23039004,0.364685,27.05882454,27.05882454,-,-,41,21.10266113,14.64881134,-,1350,-,-120.7349091,36.77297592,-76.04001617,6.66666698,22.9285965,23.61210442,33.09017181
Sun Nov 26 19:30:02 EST 2017,30:02.1,-76.04008733,36.77290777,10.25,10,-36.29999924,226.5,8.23605347,-2.29843354,4.63517427,0.01382226,-,16.47058868,-0.00632181,0.85127175,-0.21477039,0.364685,27.05882454,27.05882454,-,-,41,21.10909462,14.64881134,-,1354,-,-119.0944824,36.77290726,-76.04008484,6.66666698,22.9285965,23.61210442,33.09017181
Sun Nov 26 19:30:03 EST 2017,30:03.1,-76.04016859,36.77283067,10.25,10,-36.40000153,224.5,8.35097599,-1.80043972,4.86501789,0.024722,-,16.47058868,0.06135767,0.87860614,-0.23429495,0.44668823,27.05882454,27.05882454,-,-,41,21.11549568,14.64881134,-,1358,-,-119.4225769,36.77283096,-76.04016876,6.66666698,22.9285965,23.61210442,-
Sun Nov 26 19:30:04 EST 2017,30:04.1,-76.04025029,36.77276614,10.25,11,-36.40000153,224.5,8.15943909,-2.52827692,4.8267107,0.02156577,-,16.47058868,0.00239272,0.84736669,-0.2186753,0.38811451,27.05882454,27.05882454,-,-,41,21.12186623,14.64881134,-,1358,-,-119.4225769,36.77276611,-76.04025269,6.66666698,22.9285965,23.61210442,-
Sun Nov 26 19:30:05 EST 2017,30:05.1,-76.04031323,36.7726738,10.75,10,-36,216.1,8.27436066,-2.22181916,4.8267107,0.03028532,-,16.47058868,0.03604766,0.89032084,-0.23819989,0.37249482,27.05882454,27.05882454,-,-,41,21.12820244,14.64881134,-,1356,-,-118.1102371,36.77267456,-76.04031372,6.66666698,24.04706573,23.61210442,-
Sun Nov 26 19:30:06 EST 2017,30:06.1,-76.0403708,36.77259305,10.75,10,-35.5,214.3,8.35097599,-1.41736746,4.97993946,-0.00160545,-,16.47058868,0.00784283,0.86689138,-0.11714748,0.39982924,27.05882454,27.05882454,-,-,41,21.13450623,14.64881134,-,1356,-,-116.4698181,36.77259445,-76.04036713,6.66666698,24.04706573,23.61210442,-
Sun Nov 26 19:30:07 EST 2017,30:07.1,-76.04043728,36.77251666,10.75,10,-36,211.6,8.84896946,-1.68551803,4.94163227,0.0183009,-,16.47058868,-0.05140839,0.82393724,-0.06638357,0.364685,27.05882454,27.05882454,-,-,41,21.13920403,14.64881134,-,1343,-,-118.1102371,36.77251816,-76.04043579,6.66666698,24.04706573,22.9907341,-
