GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Thu Nov 09 13:02:39 EST 2017,02:37.8,-76.30638423,36.94541445,0,9,-27.79999924,0,0.34476504,8.73404789,3.79241538,-0.00901437,-,-,-0.02840325,-,-,62.59999847,-,725,-,-91.20734406,36.9454155,-76.30638123,-,0,0,-
Thu Nov 09 13:02:40 EST 2017,02:39.9,-76.30638423,36.94541445,0,9,-27.79999924,0,0.5363012,8.58081913,4.09887314,-0.00161445,-,-,-0.01267646,-,-,62.59999847,-,681,-,-91.20734406,36.9454155,-76.30638123,-,0,0,-
Thu Nov 09 13:02:43 EST 2017,02:42.1,-76.30638251,36.94539848,0.5,4,-30.5,0,0.68953007,8.35097599,4.21379519,-0.02490938,-,-,-0.04358272,-,-,62.59999847,1.24274242,870,-,-100.0656204,36.94540024,-76.30638123,-,1.11846817,1.24274242,2.45952249
Thu Nov 09 13:02:50 EST 2017,02:49.4,-76.30631199,36.94537547,2.5,4,-33.20000076,97.3,-0.80445176,8.73404789,3.98395157,-0.00066373,-,-,-0.01772763,-,-,62.59999847,1.24274242,790,-,-108.9238892,36.94537735,-76.30631256,-,5.59234095,0,2.45952249
Thu Nov 09 13:02:52 EST 2017,02:51.4,-76.30622895,36.94538497,3.75,3,-34.09999847,76.8,-2.29843354,8.77235508,3.52426481,0.01007902,-,18.4313736,-0.00789709,-,-,64.40000153,1.24274242,1176,-,-111.8766327,36.94538498,-76.30622864,7.45098066,8.3885107,0,2.45952249
Thu Nov 09 13:02:54 EST 2017,02:53.7,-76.30617864,36.94545069,4.25,4,-34.29999924,25.4,0.19153613,8.42759037,4.63517427,-0.00036061,-,15.68627453,0.03598874,-,-,64.40000153,7.45645428,1511,-,-112.5328064,36.94544983,-76.30617523,7.05882359,9.50697899,13.67016602,-
Thu Nov 09 13:02:56 EST 2017,02:55.7,-76.30621244,36.94557964,5.5,3,-34.5,355.3,-0.80445176,8.6957407,4.06056595,-0.00475034,-,15.68627453,-0.00829706,-,-,64.40000153,8.49207306,955,-,-113.1889801,36.94557953,-76.30621338,6.66666698,12.30314922,10.56331062,-
Thu Nov 09 13:02:58 EST 2017,02:57.8,-76.30623742,36.9456405,3.75,3,-33.59999847,334.9,-1.95366859,9.11711979,3.06457806,0.03189493,-,24.70588303,-0.00646781,-,-,64.40000153,8.69919682,1471,-,-110.2362137,36.94564056,-76.30623627,16.47058868,8.3885107,9.32056808,-
Thu Nov 09 13:03:00 EST 2017,02:59.8,-76.30633986,36.94569465,5.75,4,-35.59999847,296.1,-0.22984336,8.84896946,2.9113493,-0.03110963,-,24.70588303,-0.0098986,-,-,62.59999847,10.19048691,1970,-,-116.7978973,36.94569397,-76.30634308,13.72549057,12.86238289,16.15565109,79.14390564
Thu Nov 09 13:03:03 EST 2017,03:02.1,-76.30662138,36.94568979,8.75,4,-35.40000153,268.5,-0.42137951,9.0788126,3.60087943,-0.01117874,-,18.8235302,-0.00820474,-,-,62.59999847,11.70249081,1482,-,-116.1417389,36.94569016,-76.30661774,10.1960783,19.5731926,19.26250648,62.41910172
