GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Tue Oct 24 17:55:13 EDT 2017,55:12.9,-76.04134829,36.77299131,9.5,10,-32.79999924,297.8,-0.22984336,5.59285498,5.17147589,-0.12865758,-,22.35294151,-0.22289184,-,-,84.19999695,10.09728146,1715,-,-107.6115494,36.77299118,-76.04135132,13.72549057,21.25089455,22.36936378,54.37681198
Tue Oct 24 17:55:15 EDT 2017,55:14.7,-76.04157416,36.77305033,10.75,10,-33.5,292.3,-1.49398184,4.5202527,7.50821638,-0.07474822,-,16.47058868,-0.09343857,-,-,82.40000153,10.89227104,1828,-,-109.9081345,36.77305222,-76.04157257,8.23529434,24.04706573,23.61210442,26.67420006
Tue Oct 24 17:55:17 EDT 2017,55:16.5,-76.04179873,36.77312408,11,10,-35.09999847,292.4,1.76213241,3.33272886,8.65743351,-0.02906822,-,15.68627453,-0.03711928,-,-,82.40000153,11.6334486,1396,-,-115.1574783,36.77312469,-76.04180145,6.27450991,24.60629845,24.23347664,18.01267624
Tue Oct 24 17:55:18 EDT 2017,55:18.3,-76.04190878,36.77315646,10.5,10,-35,293.7,2.03028297,4.175488,8.08282471,-0.02494734,-,15.29411793,-0.04948004,-,-,82.40000153,12.26390457,1375,-,-114.8293991,36.77315521,-76.04190826,5.49019623,23.48783112,23.61210442,18.01267624
Tue Oct 24 17:55:20 EDT 2017,55:20.1,-76.0421154,36.77324504,10.25,10,-35.09999847,297,1.53228903,4.21379519,9.23204136,0.06520408,-,14.90196133,0.04656154,-,-,82.40000153,12.80024719,1322,-,-115.1574783,36.77324677,-76.04211426,5.09803915,22.9285965,22.9907341,-
Tue Oct 24 17:55:22 EDT 2017,55:21.9,-76.04231479,36.77333302,10,10,-36.40000153,298,1.45567465,3.79241538,8.38928318,-0.02043638,-,14.90196133,-0.04485992,-,-,82.40000153,13.2263298,1259,-,-119.4225769,36.7733345,-76.04231262,5.09803915,22.36936378,21.74799156,-
Tue Oct 24 17:55:24 EDT 2017,55:23.7,-76.04251039,36.77340088,9.5,10,-36.09999847,295.6,0.80445176,3.90733719,9.69172859,0.0873639,-,14.11764717,0.02645958,-,-,82.40000153,13.58543396,1225,-,-118.4383164,36.77339935,-76.04251099,4.70588255,21.25089455,21.12662125,-
Tue Oct 24 17:55:25 EDT 2017,55:25.5,-76.04260559,36.77342932,9.25,9,-35.40000153,293.1,-0.42137951,3.90733719,8.23605347,-0.00387418,-,15.29411793,-0.07615748,-,-,80.59999847,13.88629532,1136,-,-116.1417389,36.77342987,-76.04260254,5.49019623,20.69165993,20.50524902,-
Tue Oct 24 17:55:27 EDT 2017,55:27.3,-76.04281656,36.77346237,9.75,10,-35.5,281.3,0.42137951,4.32871675,10.26633644,0.15555185,-,16.86274529,0.13694021,-,-,80.59999847,14.13619423,1176,-,-116.4698181,36.7734642,-76.04281616,7.45098066,21.81012726,19.88387871,-
Tue Oct 24 17:55:29 EDT 2017,55:29.1,-76.04298766,36.77337589,9,9,-34.09999847,244.6,0.19153613,3.83072281,8.58081913,-0.02289402,-,17.64705849,-0.04156671,-,-,80.59999847,14.39095688,1179,-,-111.8766327,36.77337646,-76.04298401,8.23529434,20.13242531,20.50524902,18.31896973
