GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 15:25:50 EST 2017,25:51.0,-76.04387358,36.7730124,0,3,-41.90000153,0,8.35097599,2.7581203,4.5202527,-0.00591112,-,14.11764717,0.0083272,0.85127175,0.28115395,0.36078009,14.11764717,14.11764717,-,-,55.40000153,22.46222878,14.64881134,-,663,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,0,-
Sun Nov 26 15:25:51 EST 2017,25:52.0,-76.04387355,36.77301241,0,3,-41.90000153,0,7.69975281,2.9113493,4.59686708,-0.01990664,-,14.11764717,-0.03857832,0.78488815,0.29677361,0.36858991,14.11764717,14.11764717,-,-,59,22.46222878,14.64881134,-,654,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,0,-
Sun Nov 26 15:25:52 EST 2017,25:53.0,-76.04387352,36.77301241,0,3,-41.90000153,0,7.85298157,2.56658411,4.63517427,-0.0153324,-,14.11764717,-0.03400248,0.80050778,0.26162934,0.37249482,14.11764717,14.11764717,-,-,59,22.46222878,14.64881134,-,673,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,0,-
Sun Nov 26 15:25:53 EST 2017,25:54.0,-76.04387351,36.77301241,0,3,-41.90000153,0,7.08683681,3.02627087,4.59686708,-0.00136144,-,13.72549057,0.03279505,0.87079626,0.29677361,0.36858991,14.11764717,14.11764717,-,-,59,22.46222878,14.64881134,-,673,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,0,-
Sun Nov 26 15:25:54 EST 2017,25:55.0,-76.04387349,36.77301241,0,3,-41.90000153,0,4.86501789,5.82269859,4.06056595,-0.00685743,-,13.72549057,-0.1334638,0.54278332,0.52716368,0.32173091,14.11764717,14.11764717,-,-,59,22.46222878,14.64881134,-,673,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,0,-
Sun Nov 26 15:25:55 EST 2017,25:56.0,-76.04387349,36.7730124,0,3,-41.90000153,0,-3.60087943,8.77235508,2.29843354,0.02252186,-,13.72549057,-0.02511863,-0.31239328,0.88641596,0.15772445,14.11764717,14.11764717,-,-,59,22.46222878,14.64881134,-,673,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,0,-
Sun Nov 26 15:25:56 EST 2017,25:57.0,-76.04387349,36.7730124,0,4,-41.90000153,0,-7.96790314,5.74608421,1.68551803,0.02324998,-,13.72549057,0.01546723,-0.72240943,0.69117016,0.07572122,14.11764717,14.11764717,-,-,59,22.41705704,14.64881134,-,691,-,-137.4671936,36.77301407,-76.04387665,3.92156863,0,1.86411357,-
Sun Nov 26 15:25:57 EST 2017,25:58.0,-76.04387815,36.77301777,1.25,4,-42.20000076,325,-8.6957407,-4.44363832,2.26012635,0.00232754,-,21.17647171,0.02842002,-0.90984541,-0.43344569,0.10305563,35.29411697,35.68627548,-,-,59,22.38160133,14.64881134,-,1611,-,-138.4514465,36.77301788,-76.04387665,12.15686321,2.79617047,6.21371174,36.78075027
Sun Nov 26 15:25:58 EST 2017,25:59.0,-76.04390505,36.77303804,3,3,-42.20000076,312.8,-7.08683681,-6.81868649,1.95366859,0.04108888,-,23.13725471,0.07644656,-0.74583894,-0.75364876,0.08353106,38.4313736,38.82352829,-,-,59,22.31656647,14.64881134,-,1702,-,-138.4514465,36.77303696,-76.04390717,14.11764717,6.71080828,8.07782555,26.81791687
Sun Nov 26 15:25:59 EST 2017,26:00.0,-76.0439283,36.7730592,3.25,4,-41.5,324.9,-8.42759037,-4.63517427,1.76213241,0.04859123,-,23.52941132,-0.04098579,-0.8083176,-0.49592432,0.04057698,38.4313736,38.4313736,-,-,59,22.26557732,14.64881134,-,1779,-,-136.1548615,36.77305984,-76.04393005,15.68627453,7.2700429,11.18468189,50.69979477
Sun Nov 26 15:26:00 EST 2017,26:01.0,-76.0439365,36.77311451,4.75,4,-40.29999924,347.6,-4.44363832,10.30464458,1.60890353,0.16665807,-,25.09803963,0.16844545,-0.69117016,0.93327487,0.02495731,39.60784531,40,-,-,59,22.22710419,14.64881134,-,1936,-,-132.2178497,36.77311325,-76.04393768,16.86274529,10.62544727,14.29153728,64.3755722
