GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Thu Nov 23 00:18:33 EST 2017,18:32.2,-76.04438309,36.77203196,9.5,3,-43.5,336.4,6.05254173,6.05254173,3.29442143,-0.01952502,-,16.47058868,-0.05953432,0.6794554,0.51935381,0.29049161,26.66666794,27.05882454,-,-,44.59999847,27.48487282,14.64881134,-,1224,-,-142.7165375,36.77203369,-76.04438019,6.66666698,21.25089455,21.12662125,25.9509964
Thu Nov 23 00:18:34 EST 2017,18:33.2,-76.0444117,36.77211664,9.5,3,-44.59999847,343.2,6.58884287,5.86100578,3.90733719,-0.03671696,-,16.47058868,-0.09680269,0.61697668,0.57402265,0.22410804,26.66666794,27.05882454,-,-,44.59999847,27.48487282,14.64881134,-,1219,-,-146.3254547,36.77211761,-76.04441071,6.66666698,21.25089455,20.50524902,25.9509964
Thu Nov 23 00:18:35 EST 2017,18:34.2,-76.04442781,36.77219714,9.5,3,-44.5,352.3,5.89931297,4.59686708,4.29040956,-0.10209024,-,17.64705849,0.02565659,0.79269797,0.55449808,0.23972771,29.41176605,27.05882454,-,-,44.59999847,27.47606087,14.64881134,-,1219,-,-145.9973755,36.77219772,-76.04442596,7.05882359,21.25089455,20.50524902,25.9509964
Thu Nov 23 00:18:36 EST 2017,18:35.2,-76.04443971,36.77228047,9.25,3,-43.09999847,357,7.31668043,4.63517427,3.37103605,-0.02454513,-,17.64705849,-0.05913689,0.71459961,0.49201941,0.26315722,29.41176605,30.19607925,-,-,44.59999847,27.47606087,14.64881134,-,1219,-,-141.4041901,36.77228165,-76.04444122,7.05882359,20.69165993,20.50524902,25.9509964
Thu Nov 23 00:18:37 EST 2017,18:36.2,-76.04443915,36.77236662,9.75,3,-43,3.2,7.04852962,4.78840351,3.33272886,-0.01070944,-,17.64705849,-0.01400648,0.7575537,0.49201941,0.29439652,29.41176605,30.19607925,-,-,44.59999847,27.46883774,14.64881134,-,1254,-,-141.0761108,36.77236557,-76.04444122,7.05882359,21.81012726,21.74799156,-
Thu Nov 23 00:18:38 EST 2017,18:37.2,-76.04442249,36.77244374,10,3,-42.40000153,10.7,7.01022243,5.09486103,3.75410819,-0.01782481,-,17.64705849,-0.00839707,0.70288485,0.53887844,0.34516042,29.41176605,30.19607925,-,-,44.59999847,27.46883774,14.64881134,-,1254,-,-139.1076202,36.77244186,-76.04442596,7.05882359,22.36936378,21.74799156,-
Thu Nov 23 00:18:39 EST 2017,18:38.2,-76.04440123,36.77253261,10.25,3,-42.59999847,14.6,6.89530087,5.32470465,3.56257224,-0.02155018,-,17.64705849,-0.08632153,0.72631437,0.44906533,0.22410804,29.41176605,30.19607925,-,-,44.59999847,27.46883774,14.64881134,-,1254,-,-139.7637787,36.77253342,-76.04440308,7.05882359,22.9285965,21.74799156,-
Thu Nov 23 00:18:40 EST 2017,18:39.2,-76.04435192,36.77260972,9.75,3,-42.29999924,22.2,7.85298157,4.78840351,4.175488,-0.00987253,-,17.64705849,0.00270476,0.76145858,0.47249481,0.34906533,29.41176605,30.19607925,-,-,44.59999847,27.46883774,14.64881134,-,1254,-,-138.7795258,36.77260971,-76.04434967,7.05882359,21.81012726,21.74799156,-
Thu Nov 23 00:18:41 EST 2017,18:40.2,-76.04429832,36.77268885,9.5,3,-42.5,28.2,7.73806,2.06859016,4.09887314,-0.01485103,-,17.64705849,-0.03273178,0.84346181,0.2421048,0.30611128,29.41176605,30.19607925,-,-,44.59999847,27.46883774,14.64881134,-,1254,-,-139.4356995,36.77268982,-76.04429626,7.05882359,21.25089455,21.74799156,-
Thu Nov 23 00:18:42 EST 2017,18:41.2,-76.04424296,36.77276595,9.75,3,-42.79999924,29.6,8.19774628,4.67348194,4.25210238,-0.01609777,-,14.11764717,0.0039443,0.85127175,0.1444819,0.411544,14.11764717,14.11764717,-,-,44.59999847,27.44975662,14.64881134,-,1127,-,-140.4199524,36.77276611,-76.04424286,4.31372547,21.81012726,19.26250648,-
