GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 19 01:35:26 EST 2017,35:25.8,-76.04959287,36.83859731,7.5,4,-31.5,311.8,-1.30244577,8.92558384,2.22181916,-0.03403574,-,16.47058868,-0.00898974,-0.15229172,0.94108468,0.16943921,29.41176605,-,-,-,64.40000153,22.68004799,14.35873604,-,1440,-,-103.3464584,36.83859634,-76.04959106,7.05882359,16.77702141,19.26250648,-
Sun Nov 19 01:35:27 EST 2017,35:26.6,-76.04967159,36.83862706,8.25,3,-32.20000076,298.2,-1.76213241,9.46188545,2.64319873,0.03642362,-,16.47058868,-0.06412902,-0.11714748,0.89813066,0.13429496,29.41176605,-,-,-,64.40000153,22.59531593,14.35873604,-,1636,-,-105.6430435,36.83862686,-76.04967499,7.05882359,18.45472336,21.74799156,-
Sun Nov 19 01:35:29 EST 2017,35:28.8,-76.04989892,36.83865883,10.5,3,-32.5,277.8,-0.57460839,9.50019264,1.26413846,-0.00229061,-,32.94117737,-0.02095622,-0.05857374,0.96841919,0.02886223,44.70588303,-,-,-,66.19999695,22.68004799,14.35873604,-,1820,-,-106.6272965,36.83865738,-76.04989624,22.35294151,23.48783112,23.61210442,72.29727936
Sun Nov 19 01:35:31 EST 2017,35:30.9,-76.05019136,36.83866558,13.5,4,-32.40000153,270.8,0.65122288,9.34696388,1.37906015,-0.0156008,-,52.94117737,-0.03427097,0.06638357,0.95279956,0.04057698,44.70588303,-,-,-,66.19999695,23.37311554,14.35873604,-,2360,-,-106.2992172,36.83866501,-76.05019379,48.23529434,30.19863892,31.68992996,146.9290161
Sun Nov 19 01:35:33 EST 2017,35:33.0,-76.05056354,36.8386695,17,3,-32.5,271.5,0,9.95987892,1.9153614,0.0528813,-,52.94117737,0.03423455,0,1.0152781,0.09524581,44.70588303,-,-,-,66.19999695,24.49977684,14.35873604,-,2951,-,-106.6272965,36.83866882,-76.05056,38.03921509,38.02791595,39.14638519,149.7645569
Sun Nov 19 01:35:36 EST 2017,35:35.2,-76.05122418,36.83869211,20.5,3,-32.70000076,271.2,-0.03830723,9.50019264,1.72382522,0.01093772,-,42.74509811,-0.01054597,0.01561966,0.96451426,0.11867531,44.70588303,-,-,-,66.19999695,25.84904099,14.35873604,-,2538,-,-107.9396362,36.83869171,-76.05122375,32.15686417,45.85719299,44.73872757,143.0485535
Sun Nov 19 01:35:38 EST 2017,35:37.3,-76.05171565,36.83869646,22,3,-33.09999847,270.5,0.38307226,9.11711979,2.41335535,-0.00807007,-,27.84313774,-0.03749968,0.03904916,0.92936999,0.14600971,37.25490189,-,-,-,66.19999695,27.30149651,14.35873604,-,2132,-,-108.5957947,36.83869553,-76.05171204,20,49.21259689,49.0883255,138.1240845
Sun Nov 19 01:35:40 EST 2017,35:39.5,-76.05223474,36.83869939,23,3,-33.5,269.9,0.91937345,9.00219822,3.10288548,-0.00584936,-,18.4313736,-0.03534605,0.11714748,0.91375035,0.18505886,24.70588303,-,-,-,66.19999695,28.69272995,14.35873604,-,2213,-,-109.9081345,36.83869934,-76.05223846,8.23529434,51.44953156,50.95243835,59.27588654
Sun Nov 19 01:35:42 EST 2017,35:42.0,-76.05275027,36.83870534,22.75,3,-33,270.6,0.03830723,10.22802925,2.60489154,0.09490174,-,41.5686264,-0.04589094,0.01171475,0.92546505,0.13039005,24.70588303,-,-,-,64.40000153,29.89485741,14.35873604,-,1762,-,-108.2677155,36.83870697,-76.05274963,31.37254906,50.89030075,50.33106613,59.27588654
Sun Nov 19 01:35:44 EST 2017,35:44.0,-76.05327055,36.83871483,23.5,3,-32.59999847,271.7,0.68953007,9.34696388,2.41335535,0.00555372,-,32.54901886,-0.00161104,0.03904916,0.96841919,0.1381999,24.70588303,-,-,-,64.40000153,31.10126305,14.35873604,-,1863,-,-106.9553757,36.8387146,-76.05326843,25.09803963,52.56800079,52.81655121,-
Sun Nov 19 01:35:46 EST 2017,35:46.1,-76.05381649,36.838732,24.5,3,-32.90000153,271.9,0.9576807,8.00621033,3.10288548,-0.10029644,-,17.64705849,-0.02500908,0.08200324,0.90984541,0.23972771,14.11764717,-,-,-,64.40000153,32.31130219,14.35873604,-,1943,-,-107.9396362,36.83873367,-76.05381775,16.47058868,54.80493546,55.30203629,109.5153809
Sun Nov 19 01:35:49 EST 2017,35:48.7,-76.05466139,36.8387432,25,5,-32.90000153,271.1,0.5363012,9.11711979,2.98796368,0.00052573,-,16.86274529,-0.0201306,0.05466883,0.92936999,0.20458345,14.11764717,-,-,-,64.40000153,33.40610123,14.35873604,-,1907,-,-107.9396362,36.8387413,-76.05466461,10.1960783,55.92340851,55.30203629,109.5153809
Sun Nov 19 01:35:51 EST 2017,35:50.9,-76.05522563,36.83875735,25.25,6,-33,271.5,-0.03830723,8.46589756,2.52827692,-0.02502247,-,16.86274529,-0.09177383,-0.03514424,0.84736669,0.22410804,14.11764717,-,-,-,64.40000153,34.31663513,14.35873604,-,1864,-,-108.2677155,36.83875656,-76.05522919,10.1960783,56.48263931,53.43792343,-
Sun Nov 19 01:35:53 EST 2017,35:52.9,-76.05576461,36.83874042,24.25,4,-33.09999847,267.4,-1.72382522,8.96389103,3.52426481,0.01643658,-,16.86274529,0.01783114,-0.19915071,0.92936999,0.26315722,14.11764717,-,-,-,64.40000153,35.1750145,14.35873604,-,1902,-,-108.5957947,36.8387413,-76.05576324,10.1960783,54.24570084,54.05929184,26.70034409
Sun Nov 19 01:35:55 EST 2017,35:55.0,-76.05628442,36.8386663,24,4,-33.79999924,261.1,-1.8770541,9.42357826,3.25611424,0.01285423,-,31.37254906,0.03454439,-0.19134088,0.96060938,0.23191786,41.5686264,-,-,-,64.40000153,35.98774719,14.35873604,-,1925,-,-110.8923874,36.83866501,-76.05628204,23.92156982,53.68646622,54.68066406,35.35043716
Sun Nov 19 01:35:57 EST 2017,35:57.1,-76.05678034,36.83846936,24.5,4,-32.59999847,245.8,0.15322891,8.42759037,3.29442143,-0.05848062,-,16.86274529,-0.07716543,0.01561966,0.85908157,0.23582277,28.62745094,-,-,-,64.40000153,36.78517532,14.35873604,-,1963,-,-106.9553757,36.83847046,-76.05677795,9.8039217,54.80493546,55.92340851,51.10618591
Sun Nov 19 01:35:59 EST 2017,35:59.1,-76.05723586,36.83822025,24.25,4,-33.20000076,236.6,1.30244577,9.27034855,2.22181916,-0.00022072,-,25.88235283,0.01833323,0.17962612,0.97232407,0.1421048,28.62745094,-,-,-,64.40000153,37.52126312,14.35873604,-,2034,-,-108.9238892,36.83821869,-76.05723572,10.98039246,54.24570084,55.92340851,51.10618591
Sun Nov 19 01:36:02 EST 2017,36:01.3,-76.05795617,36.83784905,25.5,5,-33.5,238.1,1.68551803,8.23605347,2.98796368,-0.00455482,-,20.3921566,-0.09021271,0.1718163,0.83955687,0.20458345,14.11764717,-,-,-,64.40000153,38.22583771,14.35873604,-,1970,-,-109.9081345,36.83784866,-76.05795288,20,57.04187393,56.54477692,26.71088219
Sun Nov 19 01:36:04 EST 2017,36:03.4,-76.05847744,36.83766257,25.75,3,-34,245.5,0.42137951,8.38928318,3.25611424,-0.02951201,-,16.86274529,-0.04695505,0.05466883,0.89422578,0.22410804,23.13725471,-,-,-,64.40000153,38.90227509,14.35873604,-,1983,-,-111.5485535,36.83766174,-76.05847931,7.45098066,57.60110855,57.16614914,25.46983719
Sun Nov 19 01:36:06 EST 2017,36:05.4,-76.05898629,36.83747019,25.5,4,-33.90000153,244.7,1.22583127,9.30865574,3.02627087,-0.00344273,-,26.27450943,0.07029825,0.12495731,1.01918304,0.20067854,23.13725471,-,-,-,64.40000153,39.51063919,14.35873604,-,1977,-,-111.2204742,36.83747101,-76.05898285,18.8235302,57.04187393,56.54477692,25.46983719
Sun Nov 19 01:36:08 EST 2017,36:07.6,-76.05951577,36.83727628,25.75,3,-33.90000153,245.1,0.8810662,9.88326454,3.29442143,0.08475596,-,18.8235302,0.06612004,0.08981306,1.00746834,0.23582277,30.58823586,-,-,-,64.40000153,40.09915543,14.35873604,-,1975,-,-111.2204742,36.83727646,-76.05951691,7.45098066,57.60110855,57.16614914,27.42351913
Sun Nov 19 01:36:10 EST 2017,36:09.8,-76.06003878,36.83708775,25.5,3,-34.20000076,245.8,1.07260239,8.81066227,3.56257224,-0.00972325,-,16.86274529,-0.01790629,0.06638357,0.92156017,0.23191786,16.47058868,-,-,-,64.40000153,40.62966156,14.35873604,-,1972,-,-112.2047272,36.83708954,-76.06003571,8.23529434,57.04187393,56.54477692,27.42351913
Sun Nov 19 01:36:12 EST 2017,36:12.0,-76.06054791,36.83689044,25,4,-34,244.7,2.26012635,8.42759037,2.7581203,-0.04818267,-,16.86274529,-0.0256901,0.18743597,0.90594047,0.20458345,27.84313774,-,-,-,64.40000153,41.10758972,14.35873604,-,1938,-,-111.5485535,36.83689117,-76.06054688,7.45098066,55.92340851,55.92340851,-
Sun Nov 19 01:36:15 EST 2017,36:14.2,-76.06133243,36.83663806,24.75,4,-33.59999847,250,1.49398184,8.61912632,2.83473492,-0.03711328,-,20.7843132,-0.06232098,0.15229172,0.87860614,0.1889638,29.41176605,-,-,-,64.40000153,41.53772354,14.35873604,-,1922,-,-110.2362137,36.8366394,-76.0613327,11.76470566,55.36417389,55.30203629,-
Sun Nov 19 01:36:17 EST 2017,36:16.4,-76.06187855,36.83649936,24.75,3,-33.09999847,253.7,1.41736746,9.15542698,3.02627087,0.01249993,-,19.2156868,-0.02730453,0.13276714,0.91765523,0.19286871,28.23529434,-,-,-,64.40000153,41.94255447,14.35873604,-,1916,-,-108.5957947,36.83649826,-76.06188202,10.1960783,55.36417389,55.30203629,-
Sun Nov 19 01:36:18 EST 2017,36:18.5,-76.06215206,36.83643974,24.75,3,-33,255,1.41736746,9.11711979,2.98796368,0.00529599,-,19.6078434,-0.00294935,0.14838681,0.94108468,0.19286871,28.23529434,-,-,-,64.40000153,42.3242569,14.35873604,-,1911,-,-108.2677155,36.83644104,-76.06214905,10.58823586,55.36417389,55.30203629,-
Sun Nov 19 01:36:21 EST 2017,36:20.6,-76.06295938,36.83628967,24.5,4,-32.90000153,257.8,1.18752408,9.27034855,2.79642749,0.01344335,-,22.74509811,0.01054927,0.1444819,0.96060938,0.17724904,28.23529434,-,-,-,64.40000153,42.65022659,14.35873604,-,1887,-,-107.9396362,36.83628845,-76.06295776,14.11764717,54.80493546,54.05929184,-
Sun Nov 19 01:36:23 EST 2017,36:22.8,-76.06348745,36.83621926,24,3,-31.39999962,261.4,1.26413846,9.30865574,2.79642749,-0.00156075,-,22.74509811,-0.00052662,0.12886222,0.9488945,0.18505886,32.94117737,-,-,-,64.40000153,42.94178772,14.35873604,-,1871,-,-103.0183716,36.83621979,-76.06348419,14.11764717,53.68646622,53.43792343,-
Sun Nov 19 01:36:25 EST 2017,36:25.0,-76.06401484,36.83616518,23.75,4,-30.29999924,263.4,1.07260239,8.92558384,2.71981311,-0.01505662,-,28.23529434,-0.05908014,0.15229172,0.89813066,0.13429496,38.4313736,-,-,-,64.40000153,43.20164871,14.35873604,-,1843,-,-99.40944672,36.83616638,-76.06401825,20.7843132,53.12723541,52.81655121,-
Sun Nov 19 01:36:28 EST 2017,36:27.2,-76.06482232,36.83611683,24.25,3,-27.5,266.8,1.80043972,8.50420475,2.37504816,-0.06241465,-,23.52941132,-0.09161424,0.1952458,0.84736669,0.16162936,33.33333206,-,-,-,64.40000153,43.48004913,14.35873604,-,1908,-,-90.22309875,36.83611679,-76.06481934,15.68627453,54.24570084,54.05929184,48.36476898
Sun Nov 19 01:36:30 EST 2017,36:29.4,-76.0653677,36.83612254,24.25,3,-27.29999924,271,1.14921677,8.81066227,2.60489154,-0.03714055,-,22.35294151,-0.05581808,0.11714748,0.89813066,0.1655343,32.54901886,-,-,-,64.40000153,43.74453354,14.35873604,-,1910,-,-89.56692505,36.83612442,-76.06536865,12.54901981,54.24570084,54.05929184,48.36476898
Sun Nov 19 01:36:32 EST 2017,36:31.4,-76.06590378,36.83615078,24,4,-27.39999962,274,0.2681506,8.46589756,2.56658411,-0.07881224,-,20.3921566,-0.018186,0.06638357,0.92936999,0.20848836,32.54901886,-,-,-,64.40000153,43.98095703,14.35873604,-,1854,-,-89.8950119,36.83615112,-76.06590271,11.37254906,53.68646622,53.43792343,-
Sun Nov 19 01:36:34 EST 2017,36:33.6,-76.06642854,36.83618612,23.75,4,-27.79999924,274.8,1.26413846,8.84896946,2.64319873,0.05262291,-,22.74509811,-0.04948006,0.12886222,0.90203559,0.16943921,32.54901886,-,-,-,64.40000153,44.19132996,14.35873604,-,1870,-,-91.20734406,36.83618546,-76.06642914,14.90196133,53.12723541,52.81655121,-
Sun Nov 19 01:36:36 EST 2017,36:35.6,-76.0669555,36.8362352,24,4,-28.60000038,276.7,0.84275901,8.73404789,2.83473492,0.02185944,-,22.35294151,-0.08100118,0.12495731,0.86689138,0.17724904,32.54901886,-,-,-,64.40000153,44.40636444,14.35873604,-,1875,-,-93.83202362,36.83623505,-76.06695557,14.11764717,53.68646622,53.43792343,24.40238762
Sun Nov 19 01:36:38 EST 2017,36:37.7,-76.06749158,36.83630003,24,4,-29.10000038,278.2,0.84275901,8.92558384,2.98796368,-0.01458136,-,17.25490189,-0.03635892,0.08590815,0.90984541,0.20458345,32.54901886,-,-,-,64.40000153,44.6257515,14.35873604,-,1888,-,-95.47244263,36.8362999,-76.06748962,7.45098066,53.68646622,54.05929184,26.92516518
Sun Nov 19 01:36:40 EST 2017,36:39.7,-76.06802901,36.83637421,24,4,-29.5,279.2,0.76614451,9.0788126,2.94965649,-0.01169193,-,23.92156982,-0.04814057,0.05857374,0.90594047,0.18505886,32.54901886,-,-,-,64.40000153,44.82157516,14.35873604,-,1852,-,-96.78477478,36.83637238,-76.06803131,14.90196133,53.68646622,53.43792343,26.92516518
Sun Nov 19 01:36:42 EST 2017,36:41.9,-76.06857102,36.83644965,24.5,4,-29.89999962,279.4,0.72783732,9.30865574,2.9113493,0.01598549,-,21.17647171,-0.00267392,0.0741934,0.9488945,0.19677362,30.58823586,-,-,-,64.40000153,45.03590393,14.35873604,-,1909,-,-98.09711456,36.83644867,-76.068573,12.54901981,54.80493546,54.68066406,54.11301041
