GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Oct 29 17:32:07 EDT 2017,29-Oct-2017 17:32:07.579,-76.04954053,36.83836889,5.75,4.0,-33.20000076293945,17.9,-2.68150592,8.88727665,3.48595762,0.02382637,-,-,0.01114547,-,-,60.79999924,-,1725,-,-108.92388916,36.83836746,-76.04953766,-,12.86238289,14.91290855,-
Sun Oct 29 17:32:09 EDT 2017,29-Oct-2017 17:32:09.700,-76.04954363,36.83847897,6.75,4.0,-33.20000076293945,350.9,-2.37504816,9.42357826,2.60489154,0.04461867,-,-,0.02596902,-,-,60.79999924,17.39839363,1429,-,-108.92388916,36.83847809,-76.04954529,17.25490189,15.09931946,17.39839363,-
Sun Oct 29 17:32:12 EDT 2017,29-Oct-2017 17:32:11.867,-76.04977791,36.83863175,9.5,4.0,-34.400001525878906,287.5,-1.37906015,9.92157173,2.29843354,0.0666315,-,-,0.0172838,-,-,60.79999924,19.5731926,1670,-,-112.86090088,36.83863068,-76.04977417,18.03921509,21.25089455,21.74799156,78.94874573
Sun Oct 29 17:32:14 EDT 2017,29-Oct-2017 17:32:13.965,-76.05004553,36.83865275,12.0,3.0,-36.0,274.7,-0.76614451,9.57680702,2.22181916,0.02419549,-,-,-0.0156792,-,-,60.79999924,22.36936378,2144,-,-118.11023712,36.83865356,-76.05004883,19.2156868,26.84323311,27.96170425,117.09078979
Sun Oct 29 17:32:16 EDT 2017,29-Oct-2017 17:32:16.289,-76.05035698,36.83865004,14.0,3.0,-36.5,271.7,-0.72783732,9.19373417,2.94965649,0.0060249,-,23.92156982,-0.0126379,-,-,60.79999924,24.54416275,1807,-,-119.75065613,36.83864975,-76.050354,18.8235302,31.31710625,31.06855965,99.98913574
Sun Oct 29 17:32:18 EDT 2017,29-Oct-2017 17:32:18.617,-76.05069367,36.8386486,15.0,4.0,-35.70000076293945,271.0,0,8.92558384,3.48595762,-0.00594113,-,15.29411793,-0.01027619,-,-,60.79999924,26.34613991,1490,-,-117.12598419,36.83864975,-76.05069733,5.88235283,33.55404282,33.55404282,73.42538452
Sun Oct 29 17:32:21 EDT 2017,29-Oct-2017 17:32:20.937,-76.05119378,36.83866364,15.0,4.0,-35.599998474121094,271.7,-0.5363012,9.34696388,2.60489154,0.00961804,-,22.35294151,-0.00904352,-,-,60.79999924,27.34033203,1428,-,-116.79789734,36.83866501,-76.05119324,12.15686321,33.55404282,32.31130219,73.42538452
Sun Oct 29 17:32:23 EDT 2017,29-Oct-2017 17:32:23.239,-76.05154668,36.83866892,15.75,4.0,-35.599998474121094,271.1,-0.5363012,8.84896946,3.02627087,-0.0261063,-,22.35294151,-0.04478009,-,-,60.79999924,28.40554047,1565,-,-116.79789734,36.83866882,-76.05154419,15.68627453,35.23174286,34.79678726,72.77891541
Sun Oct 29 17:32:25 EDT 2017,29-Oct-2017 17:32:25.538,-76.05191133,36.83867382,16.25,4.0,-34.5,271.2,-0.07661445,9.04050541,2.94965649,-0.02845197,-,18.4313736,-0.03730946,-,-,60.79999924,29.35978889,1584,-,-113.1889801,36.83867264,-76.0519104,9.01960754,36.35021591,36.03952789,37.26938629
Sun Oct 29 17:32:28 EDT 2017,29-Oct-2017 17:32:27.856,-76.05246687,36.83868323,16.75,4.0,-34.79999923706055,271.5,-0.19153613,8.6957407,2.87304211,-0.0472514,-,24.31372643,-0.06593239,-,-,60.79999924,30.17102432,1607,-,-114.1732254,36.83868408,-76.05246735,14.50980377,37.46868134,36.66090012,18.58768272
