GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Wed Nov 22 23:59:44 EST 2017,59:42.9,-76.04385761,36.77300615,0,3,-38.70000076,0,9.04050541,-0.11492168,4.02225876,0.00468147,-,-,0.00906838,0.92156017,-0.01171475,0.31001619,-,-,-,-,55.40000153,-,14.64881134,-,666,-,-126.9685059,36.77300644,-76.04386139,-,0,0,-
Wed Nov 22 23:59:45 EST 2017,59:43.9,-76.04385759,36.77300615,0,3,-38.70000076,0,8.31266785,0.03830723,4.06056595,-0.00296467,-,-,-0.03313408,0.8747012,-0.03123933,0.31001619,-,-,-,-,55.40000153,-,14.64881134,-,662,-,-126.9685059,36.77300644,-76.04386139,-,0,0,-
Wed Nov 22 23:59:46 EST 2017,59:44.9,-76.04385767,36.77300619,0,3,-38.70000076,0,8.27436066,-0.07661445,4.02225876,-0.04312897,-,-,-0.04946395,0.85517663,-0.01561966,0.31392109,-,-,-,-,50,-,14.64881134,-,679,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:47 EST 2017,59:45.9,-76.04385774,36.77300623,0,3,-38.70000076,0,8.54251194,0.15322891,3.86903,0.00340116,-,14.11764717,-0.02165007,0.8747012,-0.01171475,0.33735061,14.11764717,14.11764717,-,-,50,-,14.64881134,-,679,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:48 EST 2017,59:46.9,-76.04385774,36.77300623,0,3,-38.70000076,0,8.61912632,0.11492168,4.36702394,0.00322301,-,14.11764717,-0.04420514,0.86298645,0.00780983,0.31001619,14.11764717,14.11764717,-,-,50,-,14.64881134,-,679,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:49 EST 2017,59:47.9,-76.04385768,36.77300621,0,3,-38.70000076,0,8.88727665,-0.38307226,3.90733719,0.00267113,-,14.11764717,-0.02046546,0.89422578,-0.0234295,0.29830143,14.11764717,14.11764717,-,-,50,-,14.64881134,-,679,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:49 EST 2017,59:48.9,-76.04385768,36.77300621,0,3,-38.70000076,0,9.15542698,-0.2681506,4.29040956,0.00123863,-,14.11764717,0.0627656,0.93327487,0,0.40763909,14.11764717,14.11764717,-,-,50,-,14.64881134,-,672,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:51 EST 2017,59:49.9,-76.04385774,36.77300587,0,3,-38.70000076,0,8.08282471,0.42137951,3.83072281,-0.01718435,-,14.11764717,0.01882004,0.9371798,-0.05857374,0.29439652,14.11764717,14.11764717,-,-,50,-,14.64881134,-,672,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:51 EST 2017,59:50.9,-76.04385774,36.77300587,0,3,-38.70000076,0,2.60489154,9.34696388,1.76213241,-0.00757751,-,14.11764717,-0.04501175,0.32410803,0.8747012,0.10305563,14.11764717,14.11764717,-,-,50,-,14.64881134,-,672,-,-126.9685059,36.77300644,-76.04386139,4.31372547,0,0,-
Wed Nov 22 23:59:53 EST 2017,59:51.9,-76.04386274,36.77300968,1,4,-38.59999847,313.2,-9.69172859,2.7581203,1.76213241,0.06444428,-,14.11764717,0.04747243,-0.99965847,0.24600971,0.09134088,14.11764717,14.11764717,-,-,50,-,14.64881134,-,672,-,-126.6404114,36.77301025,-76.04386139,4.31372547,2.23693633,0,-
