GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sat Dec 02 14:08:09 EST 2017,02-Dec-2017 14:08:09.232,-76.04957409,36.83825748,1.5,5.0,-35.20000076293945,15.6,9.53849983,1.22583127,2.48996973,0.03164643,-,-,0.02794511,0.98403883,0.15229172,0.15381955,-,-,-,-,64.40000153,-,14.64881134,-,2253,-,-115.48556519,36.83825684,-76.04957581,-,3.35540414,9.32056808,-
Sat Dec 02 14:08:10 EST 2017,02-Dec-2017 14:08:10.225,-76.04956392,36.83830248,3.5,4.0,-36.29999923706055,14.0,7.96790314,-3.52426481,3.60087943,-0.04575585,-,23.92156982,-0.07810844,0.81612742,-0.24991462,0.24753754,-,-,-,-,55.40000153,10.56331062,14.64881134,-,2433,-,-119.09448242,36.83830261,-76.04956055,18.03921509,7.82927656,10.56331062,-
Sat Dec 02 14:08:11 EST 2017,02-Dec-2017 14:08:11.226,-76.04954809,36.83833797,4.25,5.0,-36.20000076293945,19.3,-5.47793341,-6.35899973,2.83473492,-0.07795072,-,23.92156982,0.14309718,-0.3904916,-0.99575359,0.30220634,31.76470566,30.58823586,-,-,55.40000153,10.56331062,14.64881134,-,2433,-,-118.7664032,36.83833694,-76.04954529,18.03921509,9.50697899,10.56331062,-
Sat Dec 02 14:08:12 EST 2017,02-Dec-2017 14:08:12.226,-76.04954068,36.8384011,6.75,4.0,-35.599998474121094,6.1,-5.97592735,-7.62313843,3.83072281,0.07456393,-,23.92156982,0.06216246,-0.60916686,-0.77707827,0.29049161,31.76470566,30.58823586,-,-,55.40000153,10.56331062,14.64881134,-,2433,-,-116.79789734,36.83840179,-76.04953766,18.03921509,15.09931946,10.56331062,-
Sat Dec 02 14:08:13 EST 2017,02-Dec-2017 14:08:13.225,-76.04956689,36.83847626,7.0,4.0,-36.400001525878906,346.0,-0.57460839,-9.50019264,3.10288548,0.03944653,-,23.92156982,0.02079519,-0.05857374,-0.96841919,0.21629821,31.76470566,30.58823586,-,-,57.20000076,13.98085213,14.64881134,-,1474,-,-119.4225769,36.83847809,-76.04956818,12.54901981,15.65855312,17.39839363,-
Sat Dec 02 14:08:14 EST 2017,02-Dec-2017 14:08:14.225,-76.04961832,36.83852156,7.5,4.0,-36.29999923706055,326.9,-0.34476504,-10.45787334,3.48595762,0.05207921,-,21.56862831,0.12464052,-0.03514424,-1.06604207,0.25534737,35.29411697,35.68627548,-,-,57.20000076,13.98085213,14.64881134,-,1474,-,-119.09448242,36.83852005,-76.04962158,12.54901981,16.77702141,17.39839363,-
Sat Dec 02 14:08:15 EST 2017,02-Dec-2017 14:08:15.228,-76.04968863,36.83856512,8.25,4.0,-35.79999923706055,310.9,1.26413846,-9.38527107,3.06457806,0.06696552,-,21.56862831,0.01497882,0.12886222,-0.95670444,0.21239327,35.29411697,35.68627548,-,-,57.20000076,13.98085213,14.64881134,-,1474,-,-117.45406342,36.83856583,-76.04969025,12.54901981,18.45472336,17.39839363,-
Sat Dec 02 14:08:16 EST 2017,02-Dec-2017 14:08:16.225,-76.04978085,36.83859463,9.0,4.0,-35.400001525878906,295.3,9.0788126,-2.9113493,3.33272886,0.0485509,-,25.09803963,-0.0262071,0.84346181,-0.3397277,0.24753754,37.64706039,35.68627548,-,-,57.20000076,16.77702141,14.79384899,-,1693,-,-116.14173889,36.83859634,-76.0497818,16.86274529,20.13242531,22.36936378,-
Sat Dec 02 14:08:17 EST 2017,02-Dec-2017 14:08:17.225,-76.04989815,36.83861952,10.0,3.0,-36.099998474121094,282.2,9.42357826,-1.37906015,3.75410819,0.06254083,-,25.09803963,0.02752202,0.96060938,-0.17962612,0.21629821,37.64706039,37.64706039,-,-,57.20000076,16.77702141,14.79384899,-,1693,-,-118.43831635,36.83861923,-76.04989624,16.86274529,22.36936378,22.36936378,-
Sat Dec 02 14:08:18 EST 2017,02-Dec-2017 14:08:18.227,-76.05001857,36.83863282,10.75,4.0,-36.900001525878906,280.5,9.19373417,-1.22583127,3.63918662,0.04407378,-,25.09803963,0.02884272,0.9488945,-0.19134088,0.24753754,37.64706039,37.64706039,-,-,57.20000076,16.77702141,14.79384899,-,1693,-,-121.06299591,36.83863449,-76.05001831,16.86274529,24.04706573,22.36936378,-
Sat Dec 02 14:08:18 EST 2017,02-Dec-2017 14:08:19.224,-76.05001857,36.83863282,10.75,4.0,-36.900001525878906,280.5,9.27034855,0.65122288,3.10288548,0.01772755,-,26.66666794,-0.07161824,0.8747012,0.05857374,0.20458345,38.03921509,38.4313736,-,-,57.20000076,19.7285347,14.79384899,-,1821,-,-121.06299591,36.83863449,-76.05001831,19.2156868,24.04706573,28.58307457,-
Sat Dec 02 14:08:20 EST 2017,02-Dec-2017 14:08:20.226,-76.05031286,36.83863716,13.25,4.0,-37.20000076293945,271.7,9.15542698,0.07661445,3.14119267,0.01205456,-,25.88235283,-0.01295476,0.93327487,0.00780983,0.22020312,38.03921509,38.4313736,-,-,57.20000076,23.50854301,14.79384899,-,1840,-,-122.04724884,36.83863831,-76.05031586,17.64705849,29.6394043,31.68992996,115.64031219
Sat Dec 02 14:08:21 EST 2017,02-Dec-2017 14:08:21.227,-76.05047472,36.83864125,14.25,4.0,-37.20000076293945,270.8,9.19373417,0.2681506,3.10288548,0.0115839,-,25.88235283,-0.01016833,0.9371798,0.02733441,0.21629821,40,40.39215851,-,-,57.20000076,25.03238106,14.79384899,-,1964,-,-122.04724884,36.83864212,-76.05047607,17.64705849,31.87634087,34.17541504,93.33622742
Sat Dec 02 14:08:22 EST 2017,02-Dec-2017 14:08:22.228,-76.05065173,36.8386505,15.0,3.0,-37.5,270.8,9.23204136,0.49799395,3.29442143,0.00989942,-,25.88235283,0.00083883,0.94108468,0.05076391,0.23582277,40,40.39215851,-,-,57.20000076,25.03238106,14.64881134,-,1964,-,-123.03149414,36.83864975,-76.05065155,17.64705849,33.55404282,34.17541504,93.33622742
Sat Dec 02 14:08:23 EST 2017,02-Dec-2017 14:08:23.228,-76.050834,36.83866153,16.0,3.0,-38.20000076293945,270.8,8.42759037,0.72783732,3.40934324,-0.01116187,-,29.01960754,-0.07134703,0.86689138,0.01171475,0.23191786,40,40.39215851,-,-,57.20000076,25.03238106,14.64881134,-,1964,-,-125.32808685,36.83866119,-76.05083466,20.7843132,35.79098129,34.17541504,93.33622742
Sat Dec 02 14:08:24 EST 2017,02-Dec-2017 14:08:24.233,-76.05100446,36.83866329,15.5,4.0,-38.599998474121094,271.9,8.84896946,0.65122288,3.63918662,-0.00041712,-,28.23529434,-0.07355975,0.84346181,0.16791138,0.24363261,38.03921509,37.64706039,-,-,57.20000076,26.87430382,14.64881134,-,2352,-,-126.64041138,36.83866501,-76.0510025,20.3921566,34.67251205,39.76775742,120.25482178
Sat Dec 02 14:08:25 EST 2017,02-Dec-2017 14:08:25.227,-76.05122244,36.83866448,18.0,3.0,-38.5,270.8,8.81066227,0.34476504,3.75410819,0.01930216,-,27.84313774,-0.01238288,0.90203559,0.0741934,0.29439652,37.64706039,38.03921509,-,-,57.20000076,29.76368141,14.64881134,-,2179,-,-126.31233978,36.83866501,-76.05122375,19.6078434,40.26485062,41.63187027,96.40235901
Sat Dec 02 14:08:26 EST 2017,02-Dec-2017 14:08:26.225,-76.0514376,36.83866589,18.75,3.0,-39.20000076293945,270.9,8.61912632,0.49799395,4.06056595,-0.00882523,-,26.66666794,-0.04756365,0.87860614,0.0741934,0.25925228,38.03921509,38.03921509,-,-,57.20000076,29.76368141,14.64881134,-,2179,-,-128.6089325,36.83866501,-76.05143738,19.2156868,41.94255447,41.63187027,96.40235901
Sat Dec 02 14:08:27 EST 2017,02-Dec-2017 14:08:27.226,-76.05166252,36.83867422,19.5,4.0,-39.5,270.9,8.92558384,0.65122288,3.67749381,-0.00624654,-,26.66666794,-0.01361193,0.92936999,0.03123933,0.22801295,38.03921509,38.4313736,-,-,57.20000076,31.12504768,14.64881134,-,1932,-,-129.59317017,36.83867264,-76.05166626,19.2156868,43.62025452,44.73872757,100.45910645
Sat Dec 02 14:08:27 EST 2017,02-Dec-2017 14:08:28.228,-76.05166252,36.83867422,19.5,4.0,-39.5,270.9,8.84896946,0.65122288,3.60087943,-0.02813129,-,26.66666794,-0.04335143,0.86689138,0.06638357,0.29830143,38.03921509,38.4313736,-,-,57.20000076,31.12504768,14.64881134,-,1932,-,-129.59317017,36.83867264,-76.05166626,18.4313736,43.62025452,44.73872757,100.45910645
Sat Dec 02 14:08:29 EST 2017,02-Dec-2017 14:08:29.227,-76.052121,36.83867994,20.75,4.0,-39.599998474121094,271.3,6.70376492,0.61291564,4.90332508,-0.01040139,-,25.09803963,-0.04415731,0.8747012,0.08590815,0.27487195,35.29411697,37.25490189,-,-,57.20000076,32.46664429,14.64881134,-,2073,-,-129.92124939,36.83868027,-76.05212402,16.86274529,46.41642761,47.22420883,96.08631134
Sat Dec 02 14:08:30 EST 2017,02-Dec-2017 14:08:30.228,-76.05236324,36.83868622,21.25,3.0,-40.099998474121094,271.7,7.73806,-0.07661445,4.48194551,0.0524428,-,22.74509811,0.07462349,0.98794377,0.01171475,0.32173091,32.15686417,32.54901886,-,-,57.20000076,34.66363525,14.64881134,-,2126,-,-131.56167603,36.8386879,-76.05236053,14.50980377,47.53489685,47.84558105,38.96297073
Sat Dec 02 14:08:31 EST 2017,02-Dec-2017 14:08:31.227,-76.05260704,36.8386924,21.5,3.0,-40.29999923706055,271.9,8.46589756,1.30244577,4.06056595,0.04331058,-,19.2156868,0.08033769,1.0035634,0.0234295,0.29830143,30.98039246,30.58823586,-,-,57.20000076,36.38904953,14.64881134,-,1718,-,-132.21784973,36.83869171,-76.05260468,10.1960783,48.09413147,48.46695328,51.04570007
Sat Dec 02 14:08:32 EST 2017,02-Dec-2017 14:08:32.227,-76.05285131,36.83870119,21.5,3.0,-39.599998474121094,272.1,9.57680702,0.15322891,3.25611424,0.05023056,-,19.6078434,0.02874637,0.91375035,0.08200324,0.364685,30.58823586,31.37254906,-,-,57.20000076,37.66199875,14.64881134,-,1668,-,-129.92124939,36.83869934,-76.05284882,14.50980377,48.09413147,47.84558105,51.04570007
