GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Tue Nov 21 14:53:06 EST 2017,53:06.4,-76.04350977,36.84222927,32,7,-37.20000076,264.7,-0.49799395,4.8267107,7.35498762,-0.08279294,-,-,0.05702865,-0.11714748,0.65602589,0.72003233,-,-,-,-,64.40000153,-,14.64881134,-,2414,-,-122.0472488,36.84222794,-76.04351044,-,71.58196259,70.21494293,-
Tue Nov 21 14:53:07 EST 2017,53:07.4,-76.04383357,36.84216105,30.75,7,-37.09999847,260.4,2.37504816,-1.83874691,3.94564438,-0.07304187,-,-,0.15268798,-0.0234295,0.01561966,1.05195022,-,-,-,-,64.40000153,-,14.64881134,-,2414,-,-121.7191544,36.84215927,-76.04383087,-,68.78578949,70.21494293,-
Tue Nov 21 14:53:08 EST 2017,53:08.4,-76.04417972,36.84212004,31.5,5,-35.5,259.4,5.13316822,6.66545773,6.16746378,0.0823496,-,27.05882454,-0.11838958,0.35925224,0.67555046,0.33735061,26.66666794,14.11764717,-,-,64.40000153,-,14.64881134,-,2414,-,-116.4698181,36.84212112,-76.04418182,18.8235302,70.46348572,70.21494293,-
Tue Nov 21 14:53:09 EST 2017,53:09.4,-76.04452506,36.84206952,31.75,4,-35.5,259.3,-0.72783732,-2.98796368,11.14740276,0.00049691,-,27.05882454,-0.30736998,-0.1718163,-0.31239328,0.49354723,26.66666794,14.11764717,-,-,64.40000153,-,14.64881134,-,2414,-,-116.4698181,36.84206772,-76.04452515,18.8235302,71.02272797,70.21494293,-
Tue Nov 21 14:53:10 EST 2017,53:10.4,-76.044865,36.84201367,31.25,4,-34.90000153,258.5,-0.8810662,-2.79642749,9.6534214,0.06056384,-,27.05882454,0.06929982,-0.06638357,-0.28896379,0.92699289,26.66666794,14.11764717,-,-,64.40000153,-,14.64881134,-,2428,-,-114.5013199,36.84201431,-76.04486847,18.8235302,69.90425873,70.21494293,-
Tue Nov 21 14:53:11 EST 2017,53:11.4,-76.04520824,36.84194828,31.5,4,-34.20000076,257.8,-0.42137951,-2.56658411,10.45787334,0.07735488,-,23.52941132,0.09889276,-0.04295408,-0.26162934,0.9660421,26.66666794,14.11764717,-,-,64.40000153,69.59357452,14.64881134,-,2428,-,-112.2047272,36.84194946,-76.04521179,9.8039217,70.46348572,69.59357452,-
Tue Nov 21 14:53:12 EST 2017,53:12.4,-76.0455526,36.84187832,31.75,4,-33.79999924,256.7,-0.30645782,-3.14119267,9.27034855,0.01725411,-,23.52941132,0.01324848,-0.00780983,-0.29677361,0.86841917,40,39.2156868,-,-,64.40000153,69.59357452,14.64881134,-,2428,-,-110.8923874,36.84187698,-76.04555511,9.8039217,71.02272797,69.59357452,-
Tue Nov 21 14:53:13 EST 2017,53:13.4,-76.04590016,36.8418121,31.75,8,-33.29999924,256.7,-0.11492168,-2.33674097,10.18972206,0.03377082,-,23.52941132,0.0083499,-0.00390492,-0.2928687,0.86451429,40,39.2156868,-,-,64.40000153,69.59357452,14.64881134,-,2428,-,-109.2519684,36.84181213,-76.04589844,9.8039217,71.02272797,69.59357452,-
Tue Nov 21 14:53:14 EST 2017,53:14.4,-76.04622853,36.8417349,32,5,-33.5,255,-0.65122288,-2.37504816,9.84495735,0.00126932,-,23.52941132,-0.02605826,-0.04685899,-0.27334413,0.8332749,40,39.2156868,-,-,64.40000153,69.59357452,14.64881134,-,2399,-,-109.9081345,36.84173584,-76.0462265,9.8039217,71.58196259,69.59357452,-
Tue Nov 21 14:53:15 EST 2017,53:15.4,-76.04656187,36.84165247,32,5,-33.59999847,254,-0.49799395,-2.83473492,9.95987892,0.07375835,-,34.90196228,0.02199027,-0.02733441,-0.31239328,0.87232411,36.47058868,41.17647171,-,-,64.40000153,69.59357452,14.64881134,-,2399,-,-110.2362137,36.84165192,-76.04656219,20.7843132,71.58196259,69.59357452,-
