GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:31:58 EST 2017,31:57.7,-76.04364495,36.77375977,9.75,10,-34.59999847,19.9,8.77235508,-0.99598789,4.48194551,0.02829808,-,22.74509811,-0.00899738,0.8747012,-0.1210524,0.34906533,34.11764908,34.11764908,-,-,42.79999924,20.79020309,14.64881134,-,1794,-,-113.5170593,36.77375793,-76.04364777,12.54901981,21.81012726,22.9907341,34.28122711
Sun Nov 26 19:31:59 EST 2017,31:58.7,-76.0436263,36.77386272,10.25,10,-35.09999847,15.2,8.35097599,-1.34075296,4.40533113,0.00748377,-,19.6078434,0.05000407,0.91765523,-0.11714748,0.39592433,27.84313774,28.23529434,-,-,42.79999924,20.79589081,14.64881134,-,1820,-,-115.1574783,36.77386093,-76.04362488,10.58823586,22.9285965,23.61210442,45.83493805
Sun Nov 26 19:32:00 EST 2017,31:59.7,-76.04359322,36.77395463,10.75,10,-34.70000076,14.5,8.23605347,-0.76614451,4.55855989,0.00165994,-,17.25490189,-0.04360666,0.85908157,-0.10543273,0.30611128,27.05882454,27.45098114,-,-,41,20.80280876,14.64881134,-,1396,-,-113.8451462,36.7739563,-76.04359436,7.84313726,24.04706573,24.23347664,45.83493805
Sun Nov 26 19:32:01 EST 2017,32:00.7,-76.04356772,36.77404774,10.75,10,-34.29999924,12.5,8.54251194,-1.11090958,5.01824665,0.00863171,-,16.86274529,-0.03971375,0.82784218,-0.0741934,0.38030469,27.05882454,27.45098114,-,-,41,20.81531143,14.64881134,-,1379,-,-112.5328064,36.77404785,-76.04357147,7.45098066,24.04706573,23.61210442,20.59725189
Sun Nov 26 19:32:02 EST 2017,32:01.7,-76.04355565,36.77414308,10.5,10,-34.70000076,9.8,8.77235508,-1.64721072,4.94163227,0.05899137,-,16.86274529,-0.01841133,0.85517663,-0.10933765,0.36858991,27.05882454,27.45098114,-,-,41,20.82090569,14.64881134,-,1365,-,-113.8451462,36.77414322,-76.04355621,7.45098066,23.48783112,23.61210442,20.59725189
Sun Nov 26 19:32:03 EST 2017,32:02.7,-76.04354154,36.77423483,10.25,10,-34.79999924,7.8,8.27436066,-0.80445176,4.32871675,-0.00346978,-,16.86274529,-0.05909636,0.8083176,-0.08981306,0.37249482,27.05882454,27.45098114,-,-,41,20.82523537,14.64881134,-,1331,-,-114.1732254,36.77423477,-76.04354095,7.45098066,22.9285965,22.9907341,20.59725189
Sun Nov 26 19:32:04 EST 2017,32:03.7,-76.04352907,36.77432545,10.25,10,-34.70000076,6.6,8.35097599,-0.76614451,4.48194551,0.00815898,-,16.86274529,-0.01201986,0.87860614,-0.12495731,0.3334457,27.45098114,27.45098114,-,-,41,20.82954979,14.64881134,-,1331,-,-113.8451462,36.77432632,-76.0435257,7.45098066,22.9285965,22.9907341,20.59725189
Sun Nov 26 19:32:05 EST 2017,32:04.7,-76.04350698,36.77441309,10,11,-34.59999847,7.5,8.77235508,-0.65122288,4.48194551,0.00976766,-,16.86274529,-0.02137712,0.86689138,-0.08590815,0.34516042,27.45098114,27.45098114,-,-,41,20.82954979,14.64881134,-,1329,-,-113.5170593,36.77441406,-76.04351044,7.45098066,22.36936378,22.9907341,20.59725189
Sun Nov 26 19:32:06 EST 2017,32:05.7,-76.04349402,36.77451784,11,11,-35.20000076,9.9,8.61912632,1.14921677,4.67348194,0.02529472,-,16.86274529,0.00663844,0.87860614,0.11714748,0.37639979,27.45098114,27.45098114,-,-,41,20.83261299,14.64881134,-,1329,-,-115.4855652,36.77451706,-76.04349518,7.45098066,24.60629845,22.36936378,-
Sun Nov 26 19:32:07 EST 2017,32:06.7,-76.04347914,36.77461849,11,12,-35.20000076,9.2,8.19774628,1.8770541,4.21379519,-0.01062525,-,16.86274529,-0.03987272,0.83565199,0.16791138,0.34125552,27.45098114,27.45098114,-,-,41,20.83261299,14.64881134,-,1329,-,-115.4855652,36.77462006,-76.04347992,7.45098066,24.60629845,22.36936378,-
